	annotation_category	fident	COV_query	COV_target	TruePositive	FalsePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
143	KEGG	0.0	0.3	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
144	KEGG	0.0	0.4	0.4	21698	10348	32046	0.6770891842975723	14691.481120888722
145	KEGG	0.0	0.4	0.5	21698	10348	32046	0.6770891842975723	14691.481120888722
146	KEGG	0.0	0.4	0.6	21698	10348	32046	0.6770891842975723	14691.481120888722
147	KEGG	0.0	0.4	0.7	21698	10348	32046	0.6770891842975723	14691.481120888722
148	KEGG	0.0	0.4	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
149	KEGG	0.0	0.4	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
150	KEGG	0.0	0.5	0.5	21698	10348	32046	0.6770891842975723	14691.481120888722
151	KEGG	0.0	0.5	0.6	21698	10348	32046	0.6770891842975723	14691.481120888722
152	KEGG	0.0	0.5	0.7	21698	10348	32046	0.6770891842975723	14691.481120888722
153	KEGG	0.0	0.5	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
154	KEGG	0.0	0.5	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
155	KEGG	0.0	0.6	0.6	21698	10348	32046	0.6770891842975723	14691.481120888722
156	KEGG	0.0	0.6	0.7	21698	10348	32046	0.6770891842975723	14691.481120888722
157	KEGG	0.0	0.6	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
158	KEGG	0.0	0.6	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
159	KEGG	0.0	0.7	0.7	21698	10348	32046	0.6770891842975723	14691.481120888722
160	KEGG	0.0	0.7	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
161	KEGG	0.0	0.7	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
162	KEGG	0.0	0.8	0.8	21698	10348	32046	0.6770891842975723	14691.481120888722
163	KEGG	0.0	0.8	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
164	KEGG	0.0	0.9	0.9	21698	10348	32046	0.6770891842975723	14691.481120888722
165	OrthoDB	0.0	0.0	0.0	32770	12254	45024	0.7278340440653873	23851.121624022744
166	OrthoDB	0.0	0.0	0.1	32770	12254	45024	0.7278340440653873	23851.121624022744
167	OrthoDB	0.0	0.0	0.2	32770	12254	45024	0.7278340440653873	23851.121624022744
168	OrthoDB	0.0	0.0	0.3	32770	12254	45024	0.7278340440653873	23851.121624022744
169	OrthoDB	0.0	0.0	0.4	32770	12254	45024	0.7278340440653873	23851.121624022744
170	OrthoDB	0.0	0.0	0.5	32770	12254	45024	0.7278340440653873	23851.121624022744
171	OrthoDB	0.0	0.0	0.6	32770	12254	45024	0.7278340440653873	23851.121624022744
172	OrthoDB	0.0	0.0	0.7	32770	12254	45024	0.7278340440653873	23851.121624022744
173	OrthoDB	0.0	0.0	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
174	OrthoDB	0.0	0.0	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
175	OrthoDB	0.0	0.1	0.1	32770	12254	45024	0.7278340440653873	23851.121624022744
176	OrthoDB	0.0	0.1	0.2	32770	12254	45024	0.7278340440653873	23851.121624022744
177	OrthoDB	0.0	0.1	0.3	32770	12254	45024	0.7278340440653873	23851.121624022744
178	OrthoDB	0.0	0.1	0.4	32770	12254	45024	0.7278340440653873	23851.121624022744
179	OrthoDB	0.0	0.1	0.5	32770	12254	45024	0.7278340440653873	23851.121624022744
180	OrthoDB	0.0	0.1	0.6	32770	12254	45024	0.7278340440653873	23851.121624022744
181	OrthoDB	0.0	0.1	0.7	32770	12254	45024	0.7278340440653873	23851.121624022744
182	OrthoDB	0.0	0.1	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
183	OrthoDB	0.0	0.1	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
184	OrthoDB	0.0	0.2	0.2	32770	12254	45024	0.7278340440653873	23851.121624022744
185	OrthoDB	0.0	0.2	0.3	32770	12254	45024	0.7278340440653873	23851.121624022744
186	OrthoDB	0.0	0.2	0.4	32770	12254	45024	0.7278340440653873	23851.121624022744
187	OrthoDB	0.0	0.2	0.5	32770	12254	45024	0.7278340440653873	23851.121624022744
188	OrthoDB	0.0	0.2	0.6	32770	12254	45024	0.7278340440653873	23851.121624022744
189	OrthoDB	0.0	0.2	0.7	32770	12254	45024	0.7278340440653873	23851.121624022744
190	OrthoDB	0.0	0.2	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
191	OrthoDB	0.0	0.2	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
192	OrthoDB	0.0	0.3	0.3	32770	12254	45024	0.7278340440653873	23851.121624022744
193	OrthoDB	0.0	0.3	0.4	32770	12254	45024	0.7278340440653873	23851.121624022744
194	OrthoDB	0.0	0.3	0.5	32770	12254	45024	0.7278340440653873	23851.121624022744
195	OrthoDB	0.0	0.3	0.6	32770	12254	45024	0.7278340440653873	23851.121624022744
196	OrthoDB	0.0	0.3	0.7	32770	12254	45024	0.7278340440653873	23851.121624022744
197	OrthoDB	0.0	0.3	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
198	OrthoDB	0.0	0.3	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
199	OrthoDB	0.0	0.4	0.4	32770	12254	45024	0.7278340440653873	23851.121624022744
200	OrthoDB	0.0	0.4	0.5	32770	12254	45024	0.7278340440653873	23851.121624022744
201	OrthoDB	0.0	0.4	0.6	32770	12254	45024	0.7278340440653873	23851.121624022744
202	OrthoDB	0.0	0.4	0.7	32770	12254	45024	0.7278340440653873	23851.121624022744
203	OrthoDB	0.0	0.4	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
204	OrthoDB	0.0	0.4	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
205	OrthoDB	0.0	0.5	0.5	32770	12254	45024	0.7278340440653873	23851.121624022744
206	OrthoDB	0.0	0.5	0.6	32770	12254	45024	0.7278340440653873	23851.121624022744
207	OrthoDB	0.0	0.5	0.7	32770	12254	45024	0.7278340440653873	23851.121624022744
208	OrthoDB	0.0	0.5	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
209	OrthoDB	0.0	0.5	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
210	OrthoDB	0.0	0.6	0.6	32770	12254	45024	0.7278340440653873	23851.121624022744
211	OrthoDB	0.0	0.6	0.7	32770	12254	45024	0.7278340440653873	23851.121624022744
212	OrthoDB	0.0	0.6	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
213	OrthoDB	0.0	0.6	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
214	OrthoDB	0.0	0.7	0.7	32770	12254	45024	0.7278340440653873	23851.121624022744
215	OrthoDB	0.0	0.7	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
216	OrthoDB	0.0	0.7	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
217	OrthoDB	0.0	0.8	0.8	32770	12254	45024	0.7278340440653873	23851.121624022744
218	OrthoDB	0.0	0.8	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
219	OrthoDB	0.0	0.9	0.9	32770	12254	45024	0.7278340440653873	23851.121624022744
220	PANTHER	0.0	0.0	0.0	39295	15387	54682	0.7186094144325372	28237.75694012655
221	PANTHER	0.0	0.0	0.1	39295	15387	54682	0.7186094144325372	28237.75694012655
222	PANTHER	0.0	0.0	0.2	39295	15387	54682	0.7186094144325372	28237.75694012655
223	PANTHER	0.0	0.0	0.3	39295	15387	54682	0.7186094144325372	28237.75694012655
224	PANTHER	0.0	0.0	0.4	39295	15387	54682	0.7186094144325372	28237.75694012655
225	PANTHER	0.0	0.0	0.5	39295	15387	54682	0.7186094144325372	28237.75694012655
226	PANTHER	0.0	0.0	0.6	39295	15387	54682	0.7186094144325372	28237.75694012655
227	PANTHER	0.0	0.0	0.7	39295	15387	54682	0.7186094144325372	28237.75694012655
228	PANTHER	0.0	0.0	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
229	PANTHER	0.0	0.0	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
230	PANTHER	0.0	0.1	0.1	39295	15387	54682	0.7186094144325372	28237.75694012655
231	PANTHER	0.0	0.1	0.2	39295	15387	54682	0.7186094144325372	28237.75694012655
232	PANTHER	0.0	0.1	0.3	39295	15387	54682	0.7186094144325372	28237.75694012655
233	PANTHER	0.0	0.1	0.4	39295	15387	54682	0.7186094144325372	28237.75694012655
234	PANTHER	0.0	0.1	0.5	39295	15387	54682	0.7186094144325372	28237.75694012655
235	PANTHER	0.0	0.1	0.6	39295	15387	54682	0.7186094144325372	28237.75694012655
236	PANTHER	0.0	0.1	0.7	39295	15387	54682	0.7186094144325372	28237.75694012655
237	PANTHER	0.0	0.1	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
238	PANTHER	0.0	0.1	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
239	PANTHER	0.0	0.2	0.2	39295	15387	54682	0.7186094144325372	28237.75694012655
240	PANTHER	0.0	0.2	0.3	39295	15387	54682	0.7186094144325372	28237.75694012655
241	PANTHER	0.0	0.2	0.4	39295	15387	54682	0.7186094144325372	28237.75694012655
242	PANTHER	0.0	0.2	0.5	39295	15387	54682	0.7186094144325372	28237.75694012655
243	PANTHER	0.0	0.2	0.6	39295	15387	54682	0.7186094144325372	28237.75694012655
244	PANTHER	0.0	0.2	0.7	39295	15387	54682	0.7186094144325372	28237.75694012655
245	PANTHER	0.0	0.2	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
246	PANTHER	0.0	0.2	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
247	PANTHER	0.0	0.3	0.3	39295	15387	54682	0.7186094144325372	28237.75694012655
248	PANTHER	0.0	0.3	0.4	39295	15387	54682	0.7186094144325372	28237.75694012655
249	PANTHER	0.0	0.3	0.5	39295	15387	54682	0.7186094144325372	28237.75694012655
250	PANTHER	0.0	0.3	0.6	39295	15387	54682	0.7186094144325372	28237.75694012655
251	PANTHER	0.0	0.3	0.7	39295	15387	54682	0.7186094144325372	28237.75694012655
252	PANTHER	0.0	0.3	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
253	PANTHER	0.0	0.3	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
254	PANTHER	0.0	0.4	0.4	39295	15387	54682	0.7186094144325372	28237.75694012655
255	PANTHER	0.0	0.4	0.5	39295	15387	54682	0.7186094144325372	28237.75694012655
256	PANTHER	0.0	0.4	0.6	39295	15387	54682	0.7186094144325372	28237.75694012655
257	PANTHER	0.0	0.4	0.7	39295	15387	54682	0.7186094144325372	28237.75694012655
258	PANTHER	0.0	0.4	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
259	PANTHER	0.0	0.4	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
260	PANTHER	0.0	0.5	0.5	39295	15387	54682	0.7186094144325372	28237.75694012655
261	PANTHER	0.0	0.5	0.6	39295	15387	54682	0.7186094144325372	28237.75694012655
262	PANTHER	0.0	0.5	0.7	39295	15387	54682	0.7186094144325372	28237.75694012655
263	PANTHER	0.0	0.5	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
264	PANTHER	0.0	0.5	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
265	PANTHER	0.0	0.6	0.6	39295	15387	54682	0.7186094144325372	28237.75694012655
266	PANTHER	0.0	0.6	0.7	39295	15387	54682	0.7186094144325372	28237.75694012655
267	PANTHER	0.0	0.6	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
268	PANTHER	0.0	0.6	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
269	PANTHER	0.0	0.7	0.7	39295	15387	54682	0.7186094144325372	28237.75694012655
270	PANTHER	0.0	0.7	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
271	PANTHER	0.0	0.7	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
272	PANTHER	0.0	0.8	0.8	39295	15387	54682	0.7186094144325372	28237.75694012655
273	PANTHER	0.0	0.8	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
274	PANTHER	0.0	0.9	0.9	39295	15387	54682	0.7186094144325372	28237.75694012655
275	InterPro	0.0	0.0	0.0	36634	22858	59492	0.6157802729778794	22558.494520271634
276	InterPro	0.0	0.0	0.1	36634	22858	59492	0.6157802729778794	22558.494520271634
277	InterPro	0.0	0.0	0.2	36634	22858	59492	0.6157802729778794	22558.494520271634
278	InterPro	0.0	0.0	0.3	36634	22858	59492	0.6157802729778794	22558.494520271634
279	InterPro	0.0	0.0	0.4	36634	22858	59492	0.6157802729778794	22558.494520271634
280	InterPro	0.0	0.0	0.5	36634	22858	59492	0.6157802729778794	22558.494520271634
281	InterPro	0.0	0.0	0.6	36634	22858	59492	0.6157802729778794	22558.494520271634
282	InterPro	0.0	0.0	0.7	36634	22858	59492	0.6157802729778794	22558.494520271634
283	InterPro	0.0	0.0	0.8	36634	22858	59492	0.6157802729778794	22558.494520271634
284	InterPro	0.0	0.0	0.9	36634	22858	59492	0.6157802729778794	22558.494520271634
285	InterPro	0.0	0.1	0.1	36634	22858	59492	0.6157802729778794	22558.494520271634
286	InterPro	0.0	0.1	0.2	36634	22858	59492	0.6157802729778794	22558.494520271634
287	InterPro	0.0	0.1	0.3	36634	22858	59492	0.6157802729778794	22558.494520271634
288	InterPro	0.0	0.1	0.4	36634	22858	59492	0.6157802729778794	22558.494520271634
289	InterPro	0.0	0.1	0.5	36634	22858	59492	0.6157802729778794	22558.494520271634
290	InterPro	0.0	0.1	0.6	36634	22858	59492	0.6157802729778794	22558.494520271634
291	InterPro	0.0	0.1	0.7	36634	22858	59492	0.6157802729778794	22558.494520271634
292	InterPro	0.0	0.1	0.8	36634	22858	59492	0.6157802729778794	22558.494520271634
293	InterPro	0.0	0.1	0.9	36634	22858	59492	0.6157802729778794	22558.494520271634
294	InterPro	0.0	0.2	0.2	36634	22858	59492	0.6157802729778794	22558.494520271634
295	InterPro	0.0	0.2	0.3	36634	22858	59492	0.6157802729778794	22558.494520271634
296	InterPro	0.0	0.2	0.4	36634	22858	59492	0.6157802729778794	22558.494520271634
297	InterPro	0.0	0.2	0.5	36634	22858	59492	0.6157802729778794	22558.494520271634
298	InterPro	0.0	0.2	0.6	36634	22858	59492	0.6157802729778794	22558.494520271634
299	InterPro	0.0	0.2	0.7	36634	22858	59492	0.6157802729778794	22558.494520271634
300	InterPro	0.0	0.2	0.8	36634	22858	59492	0.6157802729778794	22558.494520271634
301	InterPro	0.0	0.2	0.9	36634	22858	59492	0.6157802729778794	22558.494520271634
302	InterPro	0.0	0.3	0.3	36634	22858	59492	0.6157802729778794	22558.494520271634
303	InterPro	0.0	0.3	0.4	36634	22858	59492	0.6157802729778794	22558.494520271634
304	InterPro	0.0	0.3	0.5	36634	22858	59492	0.6157802729778794	22558.494520271634
305	InterPro	0.0	0.3	0.6	36634	22858	59492	0.6157802729778794	22558.494520271634
