	ALL	1orMORE	CERO	NaN	ALL_TruePositive_query_count	1orMORE_TruePositive_query_count	CERO_FalsePositive_query_count	NaN_query_count	TruePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
InterPro_count_0.0_1e-30	569	652	3	166838	569	652	3	10504	1221	1224	0.9975490196078431	1218.0073529411766
InterPro_count_0.0_1e-20	1012	1140	14	165896	1012	1140	14	10495	2152	2166	0.9935364727608494	2138.090489381348
InterPro_count_0.0_1e-15	1295	1482	34	165251	1295	1482	34	10488	2777	2811	0.9879046602632515	2743.4112415510494
InterPro_count_0.0_1e-10	1665	1963	100	164334	1665	1963	100	10467	3628	3728	0.973175965665236	3530.6824034334763
InterPro_count_0.0_1e-05	1971	2445	299	163347	1971	2445	299	10440	4416	4715	0.9365853658536586	4135.960975609756
InterPro_count_0.0_0.01	2069	2607	569	162817	2069	2607	569	10376	4676	5245	0.8915157292659676	4168.727550047664
InterPro_count_0.0_1	2089	2632	769	162572	2089	2632	769	10332	4721	5490	0.8599271402550092	4059.716029143898
Pfam_count_0.0_1e-30	828	308	12	166914	828	308	12	10505	1136	1148	0.9895470383275261	1124.1254355400697
Pfam_count_0.0_1e-20	1443	488	44	166087	1443	488	44	10497	1931	1975	0.9777215189873417	1887.9802531645569
Pfam_count_0.0_1e-15	1839	600	81	165542	1839	600	81	10490	2439	2520	0.9678571428571429	2360.6035714285713
Pfam_count_0.0_1e-10	2303	748	161	164850	2303	748	161	10478	3051	3212	0.9498754669987547	2898.0700498132005
Pfam_count_0.0_1e-05	2668	846	354	164194	2668	846	354	10460	3514	3868	0.9084798345398138	3192.3981385729057
Pfam_count_0.0_0.01	2777	863	543	163879	2777	863	543	10424	3640	4183	0.8701888596700932	3167.487449199139
Pfam_count_0.0_1	2795	865	675	163727	2795	865	675	10402	3660	4335	0.8442906574394463	3090.1038062283733
eggNOG_count_0.0_1e-30	485	16	65	167496	485	16	65	10506	501	566	0.8851590106007067	443.46466431095405
eggNOG_count_0.0_1e-20	800	29	179	167054	800	29	179	10502	829	1008	0.8224206349206349	681.7867063492063
eggNOG_count_0.0_1e-15	964	32	308	166758	964	32	308	10499	996	1304	0.7638036809815951	760.7484662576687
eggNOG_count_0.0_1e-10	1109	34	578	166341	1109	34	578	10493	1143	1721	0.664148750726322	759.122022080186
eggNOG_count_0.0_1e-05	1175	38	1029	165820	1175	38	1029	10474	1213	2242	0.5410347903657449	656.2752007136485
eggNOG_count_0.0_0.01	1179	38	1399	165446	1179	38	1399	10434	1217	2616	0.46521406727828746	566.1655198776758
eggNOG_count_0.0_1	1180	38	1566	165278	1180	38	1566	10398	1218	2784	0.4375	532.875
EC number_count_0.05_1e-30	303	8	47	167704	303	8	47	10508	311	358	0.8687150837988827	270.1703910614525
EC number_count_0.05_1e-20	394	10	74	167584	394	10	74	10508	404	478	0.8451882845188284	341.45606694560666
EC number_count_0.05_1e-15	435	10	82	167535	435	10	82	10508	445	527	0.8444022770398482	375.75901328273244
EC number_count_0.05_1e-10	485	10	95	167472	485	10	95	10508	495	590	0.8389830508474576	415.29661016949154
EC number_count_0.05_1e-05	508	10	101	167443	508	10	101	10506	518	619	0.8368336025848142	433.4798061389338
EC number_count_0.05_0.01	509	10	102	167441	509	10	102	10506	519	621	0.8357487922705314	433.7536231884058
EC number_count_0.05_1	509	10	103	167440	509	10	103	10506	519	622	0.8344051446945338	433.05627009646304
Protein families_count_0.05_1e-30	597	5	60	167400	597	5	60	10506	602	662	0.9093655589123867	547.4380664652568
Protein families_count_0.05_1e-20	908	5	84	167065	908	5	84	10505	913	997	0.9157472417251755	836.0772316950853
Protein families_count_0.05_1e-15	1111	5	93	166853	1111	5	93	10505	1116	1209	0.9230769230769231	1030.1538461538462
Protein families_count_0.05_1e-10	1328	6	113	166615	1328	6	113	10505	1334	1447	0.921907394609537	1229.8244644091224
Protein families_count_0.05_1e-05	1489	6	125	166442	1489	6	125	10502	1495	1620	0.9228395061728395	1379.6450617283951
Protein families_count_0.05_0.01	1545	6	135	166376	1545	6	135	10502	1551	1686	0.9199288256227758	1426.8096085409252
Protein families_count_0.05_1	1554	6	156	166346	1554	6	156	10499	1560	1716	0.9090909090909091	1418.1818181818182
OrthoDB_count_0.05_1e-30	478	0	203	167381	478	0	203	10506	478	681	0.7019089574155654	335.5124816446402
OrthoDB_count_0.05_1e-20	766	0	504	166792	766	0	504	10503	766	1270	0.6031496062992125	462.0125984251968
OrthoDB_count_0.05_1e-15	928	0	759	166375	928	0	759	10499	928	1687	0.5500889152341435	510.4825133372852
OrthoDB_count_0.05_1e-10	1056	0	1279	165727	1056	0	1279	10486	1056	2335	0.45224839400428263	477.57430406852245
OrthoDB_count_0.05_1e-05	1123	0	2229	164710	1123	0	2229	10438	1123	3352	0.33502386634844866	376.2318019093079
OrthoDB_count_0.05_0.01	1138	0	3093	163831	1138	0	3093	10349	1138	4231	0.2689671472465138	306.0846135665327
OrthoDB_count_0.05_1	1139	0	3499	163424	1139	0	3499	10267	1139	4638	0.24557999137559292	279.71561017680034
PANTHER_count_0.05_1e-30	832	310	83	166837	832	310	83	10504	1142	1225	0.9322448979591836	1064.6236734693878
PANTHER_count_0.05_1e-20	1357	556	255	165894	1357	556	255	10495	1913	2168	0.882380073800738	1687.993081180812
PANTHER_count_0.05_1e-15	1672	732	389	165269	1672	732	389	10488	2404	2793	0.8607232366630863	2069.1786609380592
PANTHER_count_0.05_1e-10	2000	944	684	164434	2000	944	684	10473	2944	3628	0.8114663726571113	2388.9570011025357
PANTHER_count_0.05_1e-05	2239	1085	1053	163685	2239	1085	1053	10448	3324	4377	0.7594242631939685	2524.3262508567514
PANTHER_count_0.05_0.01	2292	1108	1243	163419	2292	1108	1243	10412	3400	4643	0.7322851604566013	2489.7695455524445
PANTHER_count_0.05_1	2297	1111	1330	163324	2297	1111	1330	10390	3408	4738	0.7192908400168848	2451.3431827775435
InterPro_count_0.05_1e-30	569	652	3	166838	569	652	3	10504	1221	1224	0.9975490196078431	1218.0073529411766
InterPro_count_0.05_1e-20	1012	1140	14	165896	1012	1140	14	10495	2152	2166	0.9935364727608494	2138.090489381348
InterPro_count_0.05_1e-15	1295	1482	34	165251	1295	1482	34	10488	2777	2811	0.9879046602632515	2743.4112415510494
InterPro_count_0.05_1e-10	1665	1963	100	164334	1665	1963	100	10467	3628	3728	0.973175965665236	3530.6824034334763
InterPro_count_0.05_1e-05	1971	2445	299	163347	1971	2445	299	10440	4416	4715	0.9365853658536586	4135.960975609756
InterPro_count_0.05_0.01	2069	2607	569	162817	2069	2607	569	10376	4676	5245	0.8915157292659676	4168.727550047664
InterPro_count_0.05_1	2089	2632	768	162573	2089	2632	768	10332	4721	5489	0.8600838039715796	4060.455638549827
Pfam_count_0.05_1e-30	828	308	12	166914	828	308	12	10505	1136	1148	0.9895470383275261	1124.1254355400697
Pfam_count_0.05_1e-20	1443	488	44	166087	1443	488	44	10497	1931	1975	0.9777215189873417	1887.9802531645569
Pfam_count_0.05_1e-15	1839	600	81	165542	1839	600	81	10490	2439	2520	0.9678571428571429	2360.6035714285713
Pfam_count_0.05_1e-10	2303	748	161	164850	2303	748	161	10478	3051	3212	0.9498754669987547	2898.0700498132005
Pfam_count_0.05_1e-05	2668	846	354	164194	2668	846	354	10460	3514	3868	0.9084798345398138	3192.3981385729057
Pfam_count_0.05_0.01	2777	863	543	163879	2777	863	543	10424	3640	4183	0.8701888596700932	3167.487449199139
Pfam_count_0.05_1	2795	865	675	163727	2795	865	675	10402	3660	4335	0.8442906574394463	3090.1038062283733
eggNOG_count_0.05_1e-30	485	16	65	167496	485	16	65	10506	501	566	0.8851590106007067	443.46466431095405
eggNOG_count_0.05_1e-20	800	29	179	167054	800	29	179	10502	829	1008	0.8224206349206349	681.7867063492063
eggNOG_count_0.05_1e-15	964	32	308	166758	964	32	308	10499	996	1304	0.7638036809815951	760.7484662576687
eggNOG_count_0.05_1e-10	1109	34	578	166341	1109	34	578	10493	1143	1721	0.664148750726322	759.122022080186
eggNOG_count_0.05_1e-05	1175	38	1029	165820	1175	38	1029	10474	1213	2242	0.5410347903657449	656.2752007136485
eggNOG_count_0.05_0.01	1179	38	1399	165446	1179	38	1399	10434	1217	2616	0.46521406727828746	566.1655198776758
eggNOG_count_0.05_1	1180	38	1566	165278	1180	38	1566	10398	1218	2784	0.4375	532.875
EC number_count_0.1_1e-30	303	8	47	167704	303	8	47	10508	311	358	0.8687150837988827	270.1703910614525
EC number_count_0.1_1e-20	394	10	74	167584	394	10	74	10508	404	478	0.8451882845188284	341.45606694560666
EC number_count_0.1_1e-15	435	10	82	167535	435	10	82	10508	445	527	0.8444022770398482	375.75901328273244
EC number_count_0.1_1e-10	485	10	95	167472	485	10	95	10508	495	590	0.8389830508474576	415.29661016949154
EC number_count_0.1_1e-05	507	10	100	167445	507	10	100	10506	517	617	0.8379254457050244	433.2074554294976
EC number_count_0.1_0.01	508	10	101	167443	508	10	101	10506	518	619	0.8368336025848142	433.4798061389338
EC number_count_0.1_1	508	10	102	167442	508	10	102	10506	518	620	0.8354838709677419	432.7806451612903
Protein families_count_0.1_1e-30	597	5	60	167400	597	5	60	10506	602	662	0.9093655589123867	547.4380664652568
Protein families_count_0.1_1e-20	908	5	84	167065	908	5	84	10505	913	997	0.9157472417251755	836.0772316950853
Protein families_count_0.1_1e-15	1111	5	92	166854	1111	5	92	10505	1116	1208	0.9238410596026491	1031.0066225165563
Protein families_count_0.1_1e-10	1327	6	112	166617	1327	6	112	10505	1333	1445	0.9224913494809689	1229.6809688581316
Protein families_count_0.1_1e-05	1486	6	121	166449	1486	6	121	10503	1492	1613	0.9249845009299442	1380.0768753874768
Protein families_count_0.1_0.01	1541	6	131	166384	1541	6	131	10503	1547	1678	0.9219308700834327	1426.2270560190702
Protein families_count_0.1_1	1550	6	149	166357	1550	6	149	10500	1556	1705	0.9126099706744868	1420.0211143695014
OrthoDB_count_0.1_1e-30	478	0	201	167383	478	0	201	10506	478	679	0.7039764359351989	336.5007363770251
OrthoDB_count_0.1_1e-20	766	0	495	166801	766	0	495	10503	766	1261	0.6074544012688342	465.310071371927
OrthoDB_count_0.1_1e-15	928	0	738	166396	928	0	738	10499	928	1666	0.5570228091236494	516.9171668667467
OrthoDB_count_0.1_1e-10	1056	0	1232	165774	1056	0	1232	10488	1056	2288	0.46153846153846156	487.3846153846154
OrthoDB_count_0.1_1e-05	1123	0	2080	164859	1123	0	2080	10444	1123	3203	0.35060880424601937	393.73368716827974
OrthoDB_count_0.1_0.01	1137	0	2825	164100	1137	0	2825	10370	1137	3962	0.28697627460878344	326.29202423018677
OrthoDB_count_0.1_1	1138	0	3176	163748	1138	0	3176	10297	1138	4314	0.26379230412610105	300.195642095503
PANTHER_count_0.1_1e-30	832	310	82	166838	832	310	82	10504	1142	1224	0.9330065359477124	1065.4934640522877
PANTHER_count_0.1_1e-20	1356	556	249	165901	1356	556	249	10495	1912	2161	0.8847755668671912	1691.6908838500694
PANTHER_count_0.1_1e-15	1671	729	380	165282	1671	729	380	10488	2400	2780	0.8633093525179856	2071.9424460431655
PANTHER_count_0.1_1e-10	1997	939	654	164472	1997	939	654	10475	2936	3590	0.8178272980501393	2401.140947075209
PANTHER_count_0.1_1e-05	2236	1077	979	163770	2236	1077	979	10451	3313	4292	0.7719012115563839	2557.3087138862998
PANTHER_count_0.1_0.01	2288	1100	1135	163539	2288	1100	1135	10420	3388	4523	0.7490603581693567	2537.8164934777806
PANTHER_count_0.1_1	2293	1103	1204	163462	2293	1103	1204	10398	3396	4600	0.7382608695652174	2507.1339130434785
InterPro_count_0.1_1e-30	569	650	3	166840	569	650	3	10504	1219	1222	0.997545008183306	1216.0073649754502
InterPro_count_0.1_1e-20	1012	1136	11	165903	1012	1136	11	10495	2148	2159	0.9949050486336267	2137.05604446503
InterPro_count_0.1_1e-15	1295	1475	29	165263	1295	1475	29	10488	2770	2799	0.9896391568417292	2741.30046445159
InterPro_count_0.1_1e-10	1663	1941	81	164377	1663	1941	81	10469	3604	3685	0.9780189959294436	3524.780461329715
InterPro_count_0.1_1e-05	1963	2391	233	163475	1963	2391	233	10447	4354	4587	0.9492042729452801	4132.83540440375
InterPro_count_0.1_0.01	2059	2545	434	163024	2059	2545	434	10397	4604	5038	0.9138547042477173	4207.38705835649
InterPro_count_0.1_1	2079	2567	597	162819	2079	2567	597	10356	4646	5243	0.8861338928094602	4116.978065992752
Pfam_count_0.1_1e-30	828	307	12	166915	828	307	12	10505	1135	1147	0.9895379250217959	1123.1255448997383
Pfam_count_0.1_1e-20	1442	487	43	166090	1442	487	43	10497	1929	1972	0.9781947261663286	1886.937626774848
Pfam_count_0.1_1e-15	1838	599	79	165546	1838	599	79	10490	2437	2516	0.9686009538950715	2360.4805246422893
Pfam_count_0.1_1e-10	2301	744	149	164868	2301	744	149	10479	3045	3194	0.9533500313087038	2902.950845335003
Pfam_count_0.1_1e-05	2665	839	306	164252	2665	839	306	10464	3504	3810	0.9196850393700787	3222.576377952756
Pfam_count_0.1_0.01	2773	856	453	163980	2773	856	453	10437	3629	4082	0.8890249877511024	3226.2716805487507
Pfam_count_0.1_1	2790	858	569	163845	2790	858	569	10415	3648	4217	0.8650699549442732	3155.7751956367088
eggNOG_count_0.1_1e-30	485	16	63	167498	485	16	63	10506	501	564	0.8882978723404256	445.0372340425532
eggNOG_count_0.1_1e-20	800	29	172	167061	800	29	172	10502	829	1001	0.8281718281718282	686.5544455544456
eggNOG_count_0.1_1e-15	964	32	294	166772	964	32	294	10499	996	1290	0.772093023255814	769.0046511627908
eggNOG_count_0.1_1e-10	1109	34	546	166373	1109	34	546	10493	1143	1689	0.6767317939609236	773.5044404973357
eggNOG_count_0.1_1e-05	1175	38	946	165903	1175	38	946	10476	1213	2159	0.5618341824918944	681.504863362668
eggNOG_count_0.1_0.01	1179	38	1271	165574	1179	38	1271	10443	1217	2488	0.4891479099678457	595.2930064308682
eggNOG_count_0.1_1	1180	38	1414	165430	1180	38	1414	10409	1218	2632	0.4627659574468085	563.6489361702128
EC number_count_0.15_1e-30	302	8	47	167705	302	8	47	10508	310	357	0.8683473389355743	269.18767507002804
EC number_count_0.15_1e-20	386	10	73	167593	386	10	73	10508	396	469	0.8443496801705757	334.36247334754796
EC number_count_0.15_1e-15	424	10	78	167550	424	10	78	10508	434	512	0.84765625	367.8828125
EC number_count_0.15_1e-10	469	10	86	167497	469	10	86	10508	479	565	0.8477876106194691	406.0902654867257
EC number_count_0.15_1e-05	482	10	88	167482	482	10	88	10508	492	580	0.8482758620689655	417.35172413793106
EC number_count_0.15_0.01	482	10	88	167482	482	10	88	10508	492	580	0.8482758620689655	417.35172413793106
EC number_count_0.15_1	482	10	89	167481	482	10	89	10508	492	581	0.846815834767642	416.63339070567986
Protein families_count_0.15_1e-30	588	5	60	167409	588	5	60	10506	593	653	0.9081163859111792	538.5130168453293
Protein families_count_0.15_1e-20	875	5	82	167100	875	5	82	10505	880	962	0.9147609147609148	804.989604989605
Protein families_count_0.15_1e-15	1064	5	87	166906	1064	5	87	10505	1069	1156	0.9247404844290658	988.5475778546713
Protein families_count_0.15_1e-10	1261	6	95	166700	1261	6	95	10505	1267	1362	0.9302496328928047	1178.6262848751835
Protein families_count_0.15_1e-05	1393	6	101	166562	1393	6	101	10505	1399	1500	0.9326666666666666	1304.8006666666665
Protein families_count_0.15_0.01	1442	6	104	166510	1442	6	104	10505	1448	1552	0.9329896907216495	1350.9690721649486
Protein families_count_0.15_1	1451	6	110	166495	1451	6	110	10503	1457	1567	0.9298021697511167	1354.7217613273772
OrthoDB_count_0.15_1e-30	473	0	169	167420	473	0	169	10507	473	642	0.7367601246105919	348.48753894081
OrthoDB_count_0.15_1e-20	749	0	385	166928	749	0	385	10504	749	1134	0.6604938271604939	494.70987654320993
OrthoDB_count_0.15_1e-15	902	0	532	166628	902	0	532	10502	902	1434	0.6290097629009763	567.3668061366807
OrthoDB_count_0.15_1e-10	1025	0	773	166264	1025	0	773	10499	1025	1798	0.5700778642936596	584.3298109010011
OrthoDB_count_0.15_1e-05	1084	0	1056	165922	1084	0	1056	10490	1084	2140	0.5065420560747663	549.0915887850467
OrthoDB_count_0.15_0.01	1098	0	1230	165734	1098	0	1230	10479	1098	2328	0.47164948453608246	517.8711340206186
OrthoDB_count_0.15_1	1099	0	1357	165606	1099	0	1357	10458	1099	2456	0.44747557003257327	491.77565146579803
PANTHER_count_0.15_1e-30	809	299	66	166888	809	299	66	10505	1108	1174	0.9437819420783645	1045.710391822828
PANTHER_count_0.15_1e-20	1289	516	181	166076	1289	516	181	10497	1805	1986	0.9088620342396777	1640.4959718026182
PANTHER_count_0.15_1e-15	1571	661	250	165580	1571	661	250	10493	2232	2482	0.8992747784045125	2007.181305398872
PANTHER_count_0.15_1e-10	1852	827	372	165011	1852	827	372	10487	2679	3051	0.8780727630285152	2352.3569321533923
PANTHER_count_0.15_1e-05	2048	932	476	164606	2048	932	476	10477	2980	3456	0.8622685185185185	2569.560185185185
PANTHER_count_0.15_0.01	2091	952	513	164506	2091	952	513	10469	3043	3556	0.8557367829021373	2604.0070303712037
PANTHER_count_0.15_1	2096	955	529	164482	2096	955	529	10465	3051	3580	0.8522346368715084	2600.167877094972
InterPro_count_0.15_1e-30	561	612	1	166888	561	612	1	10505	1173	1174	0.9991482112436116	1172.0008517887566
InterPro_count_0.15_1e-20	975	1005	4	166078	975	1005	4	10497	1980	1984	0.9979838709677419	1976.008064516129
InterPro_count_0.15_1e-15	1225	1260	6	165571	1225	1260	6	10493	2485	2491	0.997591328783621	2479.0144520272984
InterPro_count_0.15_1e-10	1541	1545	11	164965	1541	1545	11	10484	3086	3097	0.9964481756538586	3075.0390700678076
InterPro_count_0.15_1e-05	1788	1782	29	164463	1788	1782	29	10473	3570	3599	0.9919422061683801	3541.233676021117
InterPro_count_0.15_0.01	1863	1856	53	164290	1863	1856	53	10460	3719	3772	0.985949098621421	3666.7446977730647
InterPro_count_0.15_1	1880	1871	94	164217	1880	1871	94	10446	3751	3845	0.9755526657997399	3659.298049414824
Pfam_count_0.15_1e-30	816	293	11	166942	816	293	11	10506	1109	1120	0.9901785714285715	1098.1080357142857
Pfam_count_0.15_1e-20	1386	434	33	166209	1386	434	33	10498	1820	1853	0.9821910415542364	1787.5876956287102
Pfam_count_0.15_1e-15	1733	518	53	165758	1733	518	53	10494	2251	2304	0.9769965277777778	2199.219184027778
Pfam_count_0.15_1e-10	2129	620	75	165238	2129	620	75	10489	2749	2824	0.9734419263456091	2675.9918555240793
Pfam_count_0.15_1e-05	2420	676	122	164844	2420	676	122	10481	3096	3218	0.9620882535736482	2978.625233064015
Pfam_count_0.15_0.01	2507	684	146	164725	2507	684	146	10474	3191	3337	0.9562481270602338	3051.3877734492057
Pfam_count_0.15_1	2523	686	179	164674	2523	686	179	10465	3209	3388	0.9471664698937426	3039.4572018890203
eggNOG_count_0.15_1e-30	472	14	40	167536	472	14	40	10506	486	526	0.9239543726235742	449.04182509505705
eggNOG_count_0.15_1e-20	764	25	100	167173	764	25	100	10503	789	889	0.8875140607424072	700.2485939257593
eggNOG_count_0.15_1e-15	922	28	165	166947	922	28	165	10501	950	1115	0.852017937219731	809.4170403587444
eggNOG_count_0.15_1e-10	1056	29	268	166709	1056	29	268	10500	1085	1353	0.8019216555801921	870.0849963045084
eggNOG_count_0.15_1e-05	1115	32	412	166503	1115	32	412	10497	1147	1559	0.7357280307889673	843.8800513149455
eggNOG_count_0.15_0.01	1119	32	505	166406	1119	32	505	10491	1151	1656	0.6950483091787439	800.0006038647343
eggNOG_count_0.15_1	1120	32	550	166360	1120	32	550	10482	1152	1702	0.6768507638072856	779.732079905993
EC number_count_0.2_1e-30	289	8	45	167720	289	8	45	10508	297	342	0.868421052631579	257.92105263157896
EC number_count_0.2_1e-20	367	9	64	167622	367	9	64	10508	376	440	0.8545454545454545	321.3090909090909
EC number_count_0.2_1e-15	394	9	68	167591	394	9	68	10508	403	471	0.8556263269639066	344.8174097664544
EC number_count_0.2_1e-10	426	9	71	167556	426	9	71	10508	435	506	0.8596837944664032	373.9624505928854
EC number_count_0.2_1e-05	434	9	73	167546	434	9	73	10508	443	516	0.8585271317829457	380.32751937984494
EC number_count_0.2_0.01	434	9	73	167546	434	9	73	10508	443	516	0.8585271317829457	380.32751937984494
EC number_count_0.2_1	434	9	73	167546	434	9	73	10508	443	516	0.8585271317829457	380.32751937984494
Protein families_count_0.2_1e-30	547	5	54	167456	547	5	54	10507	552	606	0.9108910891089109	502.81188118811883
Protein families_count_0.2_1e-20	786	5	72	167199	786	5	72	10506	791	863	0.9165701042873696	725.0069524913093
Protein families_count_0.2_1e-15	923	5	74	167060	923	5	74	10506	928	1002	0.9261477045908184	859.4650698602795
Protein families_count_0.2_1e-10	1070	6	81	166905	1070	6	81	10506	1076	1157	0.9299913569576491	1000.6707000864304
Protein families_count_0.2_1e-05	1161	6	83	166812	1161	6	83	10506	1167	1250	0.9336	1089.5112
Protein families_count_0.2_0.01	1193	6	84	166779	1193	6	84	10506	1199	1283	0.9345284489477786	1120.4996102883865
Protein families_count_0.2_1	1200	6	86	166770	1200	6	86	10504	1206	1292	0.93343653250774	1125.7244582043343
OrthoDB_count_0.2_1e-30	440	0	125	167497	440	0	125	10508	440	565	0.7787610619469026	342.65486725663715
OrthoDB_count_0.2_1e-20	672	0	238	167152	672	0	238	10505	672	910	0.7384615384615385	496.2461538461539
OrthoDB_count_0.2_1e-15	799	0	302	166961	799	0	302	10503	799	1101	0.7257039055404177	579.8374205267938
OrthoDB_count_0.2_1e-10	901	0	406	166755	901	0	406	10502	901	1307	0.6893649579188983	621.1178270849274
OrthoDB_count_0.2_1e-05	943	0	499	166620	943	0	499	10501	943	1442	0.6539528432732317	616.6775312066575
OrthoDB_count_0.2_0.01	954	0	547	166561	954	0	547	10501	954	1501	0.6355762824783477	606.3397734843437
OrthoDB_count_0.2_1	955	0	572	166535	955	0	572	10498	955	1527	0.6254092992796333	597.2658808120498
PANTHER_count_0.2_1e-30	748	262	44	167008	748	262	44	10507	1010	1054	0.9582542694497154	967.8368121442126
PANTHER_count_0.2_1e-20	1126	404	101	166431	1126	404	101	10502	1530	1631	0.9380748007357449	1435.2544451256897
PANTHER_count_0.2_1e-15	1324	494	123	166121	1324	494	123	10499	1818	1941	0.9366306027820711	1702.7944358578052
PANTHER_count_0.2_1e-10	1522	590	169	165781	1522	590	169	10497	2112	2281	0.9259096887330118	1955.521262604121
PANTHER_count_0.2_1e-05	1638	653	202	165569	1638	653	202	10492	2291	2493	0.918973124749298	2105.367428800642
PANTHER_count_0.2_0.01	1666	665	210	165521	1666	665	210	10492	2331	2541	0.9173553719008265	2138.3553719008264
PANTHER_count_0.2_1	1670	668	216	165508	1670	668	216	10489	2338	2554	0.9154267815191856	2140.267815191856
InterPro_count_0.2_1e-30	538	515	1	167008	538	515	1	10507	1053	1054	0.9990512333965844	1052.0009487666034
InterPro_count_0.2_1e-20	874	749	4	166435	874	749	4	10502	1623	1627	0.9975414874001229	1619.0098340503996
InterPro_count_0.2_1e-15	1052	886	5	166119	1052	886	5	10499	1938	1943	0.9974266598044261	1933.0128667009778
InterPro_count_0.2_1e-10	1257	1030	8	165767	1257	1030	8	10497	2287	2295	0.9965141612200435	2279.0278867102397
InterPro_count_0.2_1e-05	1399	1127	9	165527	1399	1127	9	10492	2526	2535	0.9964497041420118	2517.031952662722
InterPro_count_0.2_0.01	1446	1155	11	165450	1446	1155	11	10491	2601	2612	0.9957886676875957	2590.0463246554364
InterPro_count_0.2_1	1460	1165	20	165417	1460	1165	20	10482	2625	2645	0.9924385633270322	2605.1512287334594
Pfam_count_0.2_1e-30	767	239	11	167045	767	239	11	10507	1006	1017	0.9891838741396264	995.1189773844642
Pfam_count_0.2_1e-20	1208	323	26	166505	1208	323	26	10502	1531	1557	0.98330122029544	1505.4341682723186
Pfam_count_0.2_1e-15	1450	365	36	166211	1450	365	36	10499	1815	1851	0.9805510534846029	1779.7001620745543
Pfam_count_0.2_1e-10	1715	412	46	165889	1715	412	46	10498	2127	2173	0.9788311090658076	2081.9737689829726
Pfam_count_0.2_1e-05	1892	432	53	165685	1892	432	53	10493	2324	2377	0.9777029869583509	2272.1817416912077
