	ALL	1orMORE	CERO	NaN	ALL_TruePositive_query_count	1orMORE_TruePositive_query_count	CERO_FalsePositive_query_count	NaN_query_count	TruePositive	sum_TPFP	precision	TruePositive_x_sum_TPFP
EC number_count_0.05_1e-30	10933	200	1524	155405	375	33	134	10488	11133	12657	0.8795923204550842	9792.501303626452
EC number_count_0.05_1e-20	14500	285	2608	150669	506	43	226	10471	14785	17393	0.8500546196745817	12568.05755188869
EC number_count_0.05_1e-15	16116	327	3251	148368	560	47	266	10466	16443	19694	0.8349243424393217	13728.660962729766
EC number_count_0.05_1e-10	17587	366	3806	146303	626	50	311	10455	17953	21759	0.8250838733397674	14812.730778068844
EC number_count_0.05_1e-05	18297	405	4205	145155	654	54	360	10441	18702	22907	0.8164316584450169	15268.904876238705
EC number_count_0.05_0.01	18392	408	4399	144863	662	55	378	10439	18800	23199	0.8103797577481788	15235.139445665762
EC number_count_0.05_1	18422	408	4431	144801	663	55	389	10438	18830	23261	0.8095094793860969	15243.063496840205
Protein families_count_0.05_1e-30	19437	260	1747	146618	693	34	167	10466	19697	21444	0.9185319903003171	18092.324612945344
Protein families_count_0.05_1e-20	29791	329	2652	135290	1049	52	261	10436	30120	32772	0.9190772610765288	27682.607103625047
Protein families_count_0.05_1e-15	36456	351	3233	128022	1273	60	323	10415	36807	40040	0.9192557442557443	33835.04617882118
Protein families_count_0.05_1e-10	43967	409	4013	119673	1516	69	423	10383	44376	48389	0.9170679286614727	40695.80640228151
Protein families_count_0.05_1e-05	49430	417	4755	113460	1698	71	542	10340	49847	54602	0.912915277828651	45506.087853924764
Protein families_count_0.05_0.01	51383	421	5465	110793	1765	72	700	10325	51804	57269	0.9045731547608654	46860.507709231875
Protein families_count_0.05_1	51764	421	5880	109997	1776	72	856	10295	52185	58065	0.8987341772151899	46900.443037974685
OrthoDB_count_0.05_1e-30	13339	0	4388	150335	760	0	528	10485	13339	17727	0.7524679866869747	10037.170474417555
OrthoDB_count_0.05_1e-20	20891	0	8966	138205	1203	0	1102	10449	20891	29857	0.6997019124493419	14617.4726529792
OrthoDB_count_0.05_1e-15	25412	0	13325	129325	1470	0	1626	10416	25412	38737	0.656013630379224	16670.618375196842
OrthoDB_count_0.05_1e-10	29774	0	20693	117595	1689	0	2560	10346	29774	50467	0.5899696831592922	17565.757346384766
OrthoDB_count_0.05_1e-05	31849	0	32125	104088	1812	0	4148	10164	31849	63974	0.4978428736674274	15855.797683433895
OrthoDB_count_0.05_0.01	32321	0	40990	94751	1843	0	5619	9897	32321	73311	0.4408751756216666	14249.526551267887
OrthoDB_count_0.05_1	32373	0	45397	90292	1847	0	6479	9671	32373	77770	0.41626591230551624	13475.776379066478
PANTHER_count_0.05_1e-30	23960	7470	1899	134733	1061	715	238	10421	31430	33329	0.9430225929370818	29639.200096012482
PANTHER_count_0.05_1e-20	37703	12158	5120	113081	1745	1228	642	10304	49861	54981	0.9068769211182045	45217.79016387479
PANTHER_count_0.05_1e-15	46404	15712	8079	97867	2183	1612	989	10188	62116	70195	0.8849063323598547	54966.84174086474
PANTHER_count_0.05_1e-10	55798	20146	13262	78856	2662	2058	1656	9988	75944	89206	0.8513328699863237	64653.62347824137
PANTHER_count_0.05_1e-05	63037	22795	20244	61986	3022	2377	2568	9676	85832	106076	0.8091556996870168	69451.45201553602
PANTHER_count_0.05_0.01	64769	23349	24950	54994	3114	2463	3210	9459	88118	113068	0.7793363285810309	68673.55860190328
PANTHER_count_0.05_1	65042	23401	26819	52800	3123	2469	3585	9314	88443	115262	0.767321406881713	67864.20718883934
InterPro_count_0.05_1e-30	15949	17348	38	134727	870	1050	8	10421	33297	33335	0.9988600569971502	33259.04331783411
InterPro_count_0.05_1e-20	26425	28502	112	113023	1560	1833	24	10304	54927	55039	0.9979650793074002	54815.227911117574
InterPro_count_0.05_1e-15	33238	36838	322	97664	1990	2375	68	10189	70076	70398	0.9954260064206369	69755.47282593255
InterPro_count_0.05_1e-10	41892	47239	964	77967	2581	3136	244	9974	89131	90095	0.9893001831400189	88177.31462345303
InterPro_count_0.05_1e-05	48836	57387	3425	58414	3102	3965	865	9602	106223	109648	0.9687636801400846	102904.98439552021
InterPro_count_0.05_0.01	51165	61210	7526	48161	3310	4292	1897	9233	112375	119901	0.9372315493615566	105321.39535950492
InterPro_count_0.05_1	51642	62014	10439	43967	3352	4386	2690	8865	113656	124095	0.9158789636971675	104095.13949796527
Pfam_count_0.05_1e-30	24028	8195	257	135582	1067	605	29	10425	32223	32480	0.9920874384236453	31968.033528325122
Pfam_count_0.05_1e-20	39570	12112	860	115520	1842	1030	121	10320	51682	52542	0.9836321419055232	50836.07635796125
Pfam_count_0.05_1e-15	49729	15015	1642	101676	2339	1305	240	10222	64744	66386	0.9752658693097942	63142.61344259331
Pfam_count_0.05_1e-10	62285	18258	2986	84533	2960	1638	514	10063	80543	83529	0.9642519364532078	77663.74371775072
Pfam_count_0.05_1e-05	72028	20289	6277	69468	3467	1912	1196	9822	92317	98594	0.9363348682475607	86439.62603201007
Pfam_count_0.05_0.01	74984	20789	9937	62352	3648	1990	1970	9618	95773	105710	0.9059975404408287	86770.10244063949
Pfam_count_0.05_1	75550	20831	12196	59485	3692	1996	2539	9397	96381	108577	0.8876741851404993	85554.92563802647
eggNOG_count_0.05_1e-30	10317	184	1809	155752	644	39	266	10493	10501	12310	0.8530463038180341	8957.839236393176
eggNOG_count_0.05_1e-20	16476	275	3703	147608	1088	67	567	10465	16751	20454	0.8189596167008898	13718.392539356604
eggNOG_count_0.05_1e-15	20396	394	5538	141734	1340	82	872	10444	20790	26328	0.7896536007292616	16416.89835916135
eggNOG_count_0.05_1e-10	24259	438	8844	134521	1575	96	1405	10394	24697	33541	0.7363227095196924	18184.961957007843
eggNOG_count_0.05_1e-05	26267	471	14633	126691	1694	107	2252	10309	26738	41371	0.6462981315414179	17280.719441154433
eggNOG_count_0.05_0.01	26501	471	19141	121949	1709	107	3016	10190	26972	46113	0.5849109795502353	15776.218940428946
eggNOG_count_0.05_1	26506	471	21350	119735	1711	107	3434	10092	26977	48327	0.5582179733896165	15059.046268131686
EC number_count_0.1_1e-30	10933	200	1524	155405	375	33	134	10488	11133	12657	0.8795923204550842	9792.501303626452
EC number_count_0.1_1e-20	14500	285	2608	150669	506	43	226	10471	14785	17393	0.8500546196745817	12568.05755188869
EC number_count_0.1_1e-15	16115	327	3251	148369	560	47	266	10466	16442	19693	0.8349159599857817	13727.688214086224
EC number_count_0.1_1e-10	17581	366	3800	146315	626	50	311	10455	17947	21747	0.825263254701798	14810.999632133167
EC number_count_0.1_1e-05	18282	405	4174	145201	653	54	355	10444	18687	22861	0.8174183106600761	15275.095971304841
EC number_count_0.1_0.01	18369	408	4337	144948	661	55	371	10443	18777	23114	0.8123648005537769	15253.77385999827
EC number_count_0.1_1	18396	408	4362	144896	662	55	380	10443	18804	23166	0.8117068117068117	15263.334887334888
Protein families_count_0.1_1e-30	19437	260	1747	146618	693	34	167	10466	19697	21444	0.9185319903003171	18092.324612945344
Protein families_count_0.1_1e-20	29789	329	2650	135294	1049	52	260	10436	30118	32768	0.91912841796875	27682.309692382812
Protein families_count_0.1_1e-15	36454	351	3228	128029	1273	60	321	10415	36805	40033	0.9193665226188394	33837.28486498639
Protein families_count_0.1_1e-10	43945	409	3994	119714	1515	69	421	10383	44354	48348	0.9173905849259535	40689.94200380574
Protein families_count_0.1_1e-05	49372	417	4649	113624	1696	71	531	10344	49789	54438	0.9146000955215107	45537.024155920495
Protein families_count_0.1_0.01	51310	421	5233	111098	1762	72	671	10331	51731	56964	0.9081349624324134	46978.72974159118
Protein families_count_0.1_1	51691	421	5573	110377	1773	72	806	10306	52112	57685	0.9033890959521539	47077.412568258645
OrthoDB_count_0.1_1e-30	13337	0	4362	150363	760	0	525	10485	13337	17699	0.7535453980450872	10050.034973727328
OrthoDB_count_0.1_1e-20	20889	0	8899	138274	1203	0	1089	10449	20889	29788	0.7012555391432792	14648.52695716396
OrthoDB_count_0.1_1e-15	25410	0	13176	129476	1470	0	1597	10417	25410	38586	0.6585290001554968	16733.221893951173
OrthoDB_count_0.1_1e-10	29769	0	20319	117974	1689	0	2517	10353	29769	50088	0.5943339722089123	17692.72801868711
OrthoDB_count_0.1_1e-05	31844	0	30864	105354	1812	0	4045	10207	31844	62708	0.5078139950245583	16170.828857562034
OrthoDB_count_0.1_0.01	32314	0	38432	97316	1842	0	5411	10004	32314	70746	0.45676080626466514	14759.76869363639
OrthoDB_count_0.1_1	32366	0	42203	93493	1846	0	6232	9833	32366	74569	0.43404095535678366	14048.16956107766
PANTHER_count_0.1_1e-30	23954	7470	1867	134771	1061	715	235	10421	31424	33291	0.9439187768465952	29661.703643627407
PANTHER_count_0.1_1e-20	37688	12158	5031	113185	1744	1228	631	10306	49846	54877	0.9083222479362939	45276.23077063251
PANTHER_count_0.1_1e-15	46384	15703	7906	98069	2181	1609	977	10191	62087	69993	0.8870458474418871	55074.015530124445
PANTHER_count_0.1_1e-10	55737	20122	12878	79325	2658	2052	1619	10000	75859	88737	0.8548745168306343	64849.925972255085
PANTHER_count_0.1_1e-05	62940	22749	19193	63180	3017	2366	2508	9733	85689	104882	0.8170038710169524	70008.24470357163
PANTHER_count_0.1_0.01	64661	23295	23112	56994	3108	2451	3096	9568	87956	111068	0.791911261569489	69653.34692260597
PANTHER_count_0.1_1	64933	23347	24650	55132	3117	2457	3429	9468	88280	112930	0.781723191357478	69010.52333303816
InterPro_count_0.1_1e-30	15947	17322	24	134769	870	1048	5	10421	33269	33293	0.999279127744571	33245.01730093413
InterPro_count_0.1_1e-20	26421	28429	85	113127	1560	1831	17	10306	54850	54935	0.9984527168471831	54765.13151906799
InterPro_count_0.1_1e-15	33232	36687	265	97878	1990	2367	59	10191	69919	70184	0.9962242106463012	69655.00058417874
InterPro_count_0.1_1e-10	41859	46920	784	78499	2578	3120	208	9985	88779	89563	0.991246385226042	88001.86283398278
InterPro_count_0.1_1e-05	48738	56633	2743	59948	3088	3920	769	9675	105371	108114	0.9746286327395157	102697.5936603955
InterPro_count_0.1_0.01	51045	60170	5883	50964	3292	4239	1651	9407	111215	117098	0.9497600300602914	105627.56174315531
InterPro_count_0.1_1	51522	60911	8250	47379	3334	4323	2381	9156	112433	120683	0.9316390875268264	104746.97752790368
Pfam_count_0.1_1e-30	24027	8184	248	135603	1067	604	28	10425	32211	32459	0.992359592100804	31964.894821159
Pfam_count_0.1_1e-20	39557	12095	836	115574	1842	1028	115	10321	51652	52488	0.9840725499161713	50829.31534827008
Pfam_count_0.1_1e-15	49707	14982	1584	101789	2337	1303	233	10223	64689	66273	0.976098863790684	63142.85939975556
Pfam_count_0.1_1e-10	62227	18187	2813	84835	2957	1631	489	10067	80414	83227	0.9662008723130715	77696.07694618333
Pfam_count_0.1_1e-05	71920	20173	5603	70366	3464	1902	1122	9854	92093	97696	0.9426486243039633	86811.3397580249
Pfam_count_0.1_0.01	74850	20656	8516	64040	3643	1979	1805	9700	95506	104022	0.9181327026975062	87687.18190382804
Pfam_count_0.1_1	75413	20698	10376	61575	3686	1985	2337	9539	96111	106487	0.9025608759754712	86746.0283508785
eggNOG_count_0.1_1e-30	10317	184	1782	155779	644	39	263	10493	10501	12283	0.8549214361312383	8977.530000814133
eggNOG_count_0.1_1e-20	16471	275	3647	147669	1088	67	560	10465	16746	20393	0.821164124944834	13751.21443632619
eggNOG_count_0.1_1e-15	20390	394	5422	141856	1339	82	853	10444	20784	26206	0.7931008166068839	16483.807372357474
eggNOG_count_0.1_1e-10	24246	438	8548	134830	1574	96	1378	10396	24684	33232	0.7427780452575831	18334.73326913818
eggNOG_count_0.1_1e-05	26252	471	13861	127478	1693	107	2194	10325	26723	40584	0.6584614626453775	17596.065666272425
eggNOG_count_0.1_0.01	26486	471	17716	123389	1708	107	2894	10230	26957	44673	0.6034293644930943	16266.645378640342
eggNOG_count_0.1_1	26490	471	19625	121476	1710	107	3289	10151	26961	46586	0.5787361009745418	15603.30401837462
EC number_count_0.15_1e-30	10899	200	1518	155445	371	33	134	10488	11099	12617	0.8796861377506539	9763.636442894507
EC number_count_0.15_1e-20	14325	285	2554	150898	495	43	222	10471	14610	17164	0.851200186436728	12436.034723840596
EC number_count_0.15_1e-15	15877	326	3147	148712	547	46	259	10466	16203	19350	0.8373643410852714	13567.814418604652
EC number_count_0.15_1e-10	17224	364	3555	146919	607	48	293	10459	17588	21143	0.831859244194296	14630.740386889278
EC number_count_0.15_1e-05	17802	401	3704	146155	629	51	317	10456	18203	21907	0.830921623225453	15125.266307572922
EC number_count_0.15_0.01	17850	404	3778	146030	631	52	320	10456	18254	22032	0.828522149600581	15123.843318809006
EC number_count_0.15_1	17873	404	3781	146004	631	52	321	10456	18277	22058	0.8285882672953123	15144.107761356423
Protein families_count_0.15_1e-30	19277	260	1739	146786	685	34	165	10468	19537	21276	0.9182647114119196	17940.137666854673
Protein families_count_0.15_1e-20	29272	329	2576	135885	1022	52	254	10441	29601	32177	0.9199428162973553	27231.227305218013
Protein families_count_0.15_1e-15	35556	351	3091	129064	1237	60	305	10422	35907	38998	0.9207395251038515	33060.99412790399
Protein families_count_0.15_1e-10	42427	409	3607	121619	1471	69	374	10403	42836	46443	0.9223349051525526	39509.13799711474
Protein families_count_0.15_1e-05	47269	416	3864	116513	1630	71	420	10385	47685	51549	0.9250421928650411	44110.63696676948
Protein families_count_0.15_0.01	48946	420	4065	114631	1690	72	467	10380	49366	53431	0.9239205704553536	45610.262881098985
Protein families_count_0.15_1	49287	420	4178	114177	1701	72	523	10366	49707	53885	0.9224645077479818	45852.943286628935
OrthoDB_count_0.15_1e-30	13238	0	4076	150748	754	0	483	10487	13238	17314	0.7645835739863694	10121.557352431559
OrthoDB_count_0.15_1e-20	20624	0	7762	139676	1187	0	941	10456	20624	28386	0.7265553441837526	14984.477418445713
OrthoDB_count_0.15_1e-15	25022	0	10983	132057	1440	0	1320	10433	25022	36005	0.6949590334675739	17389.264935425635
OrthoDB_count_0.15_1e-10	29247	0	15509	123306	1655	0	1846	10408	29247	44756	0.6534766288318885	19112.230963446244
OrthoDB_count_0.15_1e-05	31222	0	20746	116094	1770	0	2591	10371	31222	51968	0.6007927955665024	18757.95266317734
OrthoDB_count_0.15_0.01	31675	0	23211	113176	1798	0	3128	10344	31675	54886	0.5771052727471486	18279.809514265933
OrthoDB_count_0.15_1	31726	0	24639	111697	1802	0	3632	10298	31726	56365	0.5628670274106271	17857.519311629556
PANTHER_count_0.15_1e-30	23544	7370	1730	135418	1035	697	213	10424	30914	32644	0.9470040436221051	29275.683004533756
PANTHER_count_0.15_1e-20	36539	11810	4353	115360	1679	1178	531	10327	48349	52702	0.9174035140981367	44355.54250313081
PANTHER_count_0.15_1e-15	44505	15047	6471	102039	2081	1520	773	10240	59552	66023	0.9019887009072596	53715.231116429124
PANTHER_count_0.15_1e-10	52809	18887	9358	87008	2509	1901	1158	10133	71696	81054	0.8845461050657586	63418.41754879463
PANTHER_count_0.15_1e-05	59053	20994	11986	76029	2827	2163	1614	10027	80047	92033	0.8697641063531559	69622.00742125107
PANTHER_count_0.15_0.01	60573	21402	13126	72961	2915	2231	1863	9994	81975	95101	0.8619783177884565	70660.67260070871
PANTHER_count_0.15_1	60824	21448	13593	72197	2923	2238	2038	9974	82272	95865	0.8582068533875763	70606.39424190267
InterPro_count_0.15_1e-30	15826	16831	12	135393	853	1010	4	10424	32657	32669	0.9996326792984175	32645.00440784842
InterPro_count_0.15_1e-20	25926	26841	36	115259	1501	1697	8	10328	52767	52803	0.9993182205556502	52731.02454406
InterPro_count_0.15_1e-15	32235	33838	122	101867	1894	2144	19	10241	66073	66195	0.9981569604955057	65951.22485081955
InterPro_count_0.15_1e-10	39861	41460	231	86510	2399	2695	45	10127	81321	81552	0.9971674514420247	81090.65431871689
InterPro_count_0.15_1e-05	45639	47460	472	74491	2819	3253	137	10006	93099	93571	0.9949557020871851	92629.38090861484
InterPro_count_0.15_0.01	47563	49304	957	70238	2979	3470	359	9952	96867	97824	0.9902171246319922	95919.36221172719
InterPro_count_0.15_1	47998	49759	1606	68699	3018	3545	704	9902	97757	99363	0.9838370419572678	96176.95771061664
Pfam_count_0.15_1e-30	23844	7955	227	136036	1048	583	24	10428	31799	32026	0.9929120089926934	31573.608973958657
Pfam_count_0.15_1e-20	38858	11376	689	117139	1777	958	89	10340	50234	50923	0.9864697680812207	49554.32232979204
Pfam_count_0.15_1e-15	48358	13817	1240	104647	2224	1179	163	10264	62175	63415	0.9804462666561539	60959.246629346366
Pfam_count_0.15_1e-10	59441	16277	1735	90609	2779	1428	277	10164	75718	77453	0.9775993182962571	74021.865182756
Pfam_count_0.15_1e-05	67545	17622	2496	80399	3214	1620	495	10071	85167	87663	0.9715273262379795	82742.06779371
Pfam_count_0.15_0.01	69942	17901	3172	77047	3355	1674	726	10031	87843	91015	0.9651486018788111	84781.54863484041
Pfam_count_0.15_1	70423	17926	3712	76001	3396	1679	995	9990	88349	92061	0.9596789085497659	84786.67189146327
eggNOG_count_0.15_1e-30	10126	176	1636	156124	630	37	232	10493	10302	11938	0.8629586195342603	8890.19969844195
eggNOG_count_0.15_1e-20	15965	249	3021	148827	1051	62	458	10472	16214	19235	0.8429425526384196	13667.470548479334
eggNOG_count_0.15_1e-15	19686	360	4167	143849	1289	74	658	10457	20046	24213	0.8279023664973362	16596.130838805602
eggNOG_count_0.15_1e-10	23311	398	5859	138494	1508	87	929	10434	23709	29568	0.8018465909090909	19010.980823863636
eggNOG_count_0.15_1e-05	25182	428	8427	134025	1620	97	1346	10416	25610	34037	0.7524164879395951	19269.38625613303
eggNOG_count_0.15_0.01	25391	428	9869	132374	1634	97	1640	10403	25819	35688	0.7234644698498095	18679.12914705223
eggNOG_count_0.15_1	25395	428	10598	131641	1636	97	1867	10386	25823	36421	0.7090140303670959	18308.869306169516
EC number_count_0.2_1e-30	10554	196	1419	155893	360	31	124	10494	10750	12169	0.8833922261484098	9496.466431095405
EC number_count_0.2_1e-20	13688	268	2331	151775	475	40	201	10482	13956	16287	0.8568797200221036	11958.613372628477
EC number_count_0.2_1e-15	14941	306	2728	150087	514	42	227	10481	15247	17975	0.8482336578581363	12933.018581363005
EC number_count_0.2_1e-10	15947	330	2869	148916	560	43	238	10475	16277	19146	0.8501514676694871	13837.915439256241
EC number_count_0.2_1e-05	16337	363	2916	148446	577	45	244	10473	16700	19616	0.8513458401305057	14217.475530179447
EC number_count_0.2_0.01	16363	363	2945	148391	578	45	245	10473	16726	19671	0.8502872248487622	14221.904122820397
EC number_count_0.2_1	16386	363	2945	148368	578	45	245	10473	16749	19694	0.8504620696658881	14244.38920483396
Protein families_count_0.2_1e-30	18398	260	1656	147748	650	34	153	10480	18658	20314	0.9184798661021956	17136.997341734765
Protein families_count_0.2_1e-20	27172	321	2380	138189	941	50	228	10458	27493	29873	0.9203293944364477	25302.616041241257
Protein families_count_0.2_1e-15	32191	341	2736	132794	1108	57	259	10448	32532	35268	0.9224225927186118	30008.251786321878
Protein families_count_0.2_1e-10	37500	377	2950	127235	1302	61	292	10434	37877	40827	0.9277438949714649	35140.15550983418
Protein families_count_0.2_1e-05	41085	383	3005	123589	1433	62	303	10423	41468	44473	0.9324309131383086	38666.04510601938
Protein families_count_0.2_0.01	42221	387	3088	122366	1480	63	322	10420	42608	45696	0.9324229691876751	39728.67787114846
Protein families_count_0.2_1	42456	387	3114	122105	1491	63	334	10414	42843	45957	0.9322410078986879	39940.00150140349
OrthoDB_count_0.2_1e-30	12440	0	3505	152117	703	0	413	10493	12440	15945	0.7801818751959863	9705.462527438069
OrthoDB_count_0.2_1e-20	19057	0	5654	143351	1078	0	704	10468	19057	24711	0.7711950143660717	14696.66338877423
OrthoDB_count_0.2_1e-15	22825	0	7289	137948	1302	0	917	10458	22825	30114	0.7579531115095969	17300.279770206547
OrthoDB_count_0.2_1e-10	26365	0	9494	132203	1486	0	1199	10445	26365	35859	0.7352408042611339	19384.623804344796
OrthoDB_count_0.2_1e-05	28041	0	11957	128064	1581	0	1510	10439	28041	39998	0.7010600530026502	19658.424946247313
OrthoDB_count_0.2_0.01	28415	0	12861	126786	1604	0	1651	10435	28415	41276	0.6884145750557225	19561.300150208353
OrthoDB_count_0.2_1	28461	0	13247	126354	1606	0	1770	10425	28461	41708	0.6823870720245516	19421.418456890762
PANTHER_count_0.2_1e-30	21999	6832	1411	137820	974	629	171	10444	28831	30242	0.9533430328681965	27485.832980622974
PANTHER_count_0.2_1e-20	32918	10310	3043	121791	1486	1005	372	10380	43228	46271	0.9342352661494241	40385.1220851073
PANTHER_count_0.2_1e-15	39037	12481	4101	112443	1780	1262	498	10342	51518	55619	0.9262662039950377	47719.38229741635
PANTHER_count_0.2_1e-10	45171	14956	5210	102725	2093	1513	658	10294	60127	65337	0.9202595772686227	55332.44760243048
PANTHER_count_0.2_1e-05	49507	16312	6252	95991	2310	1691	829	10246	65819	72071	0.9132522096266182	60109.347185414386
PANTHER_count_0.2_0.01	50533	16540	6589	94400	2372	1735	894	10238	67073	73662	0.9105508946268089	61073.38015530396
PANTHER_count_0.2_1	50704	16575	6691	94092	2381	1742	935	10229	67279	73970	0.9095444098959038	61193.238353386514
InterPro_count_0.2_1e-30	15223	15044	2	137793	801	911	1	10444	30267	30269	0.9999339257986719	30265.0001321484
InterPro_count_0.2_1e-20	24055	22235	24	121748	1328	1395	4	10381	46290	46314	0.9994817981603835	46266.012436844154
InterPro_count_0.2_1e-15	28964	26668	64	112366	1604	1694	9	10343	55632	55696	0.9988509049123815	55568.07354208561
