Ortholog_Group	geneID	pLDDT_mean	file_name
OG6_388962	Tb11.v5.1045	85.0	Tb11.v5.1045_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_197845	TcCL_NonESM04542	85.0	TcCL_NonESM04542_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_148855	TcSYL_0020950	85.0	TcSYL_0020950_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6_101788	TcSYL_0145790	85.0	TcSYL_0145790_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_116796	TcSYL_0150910	85.0	TcSYL_0150910_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6_444305	TcSYL_0159790	85.0	TcSYL_0159790_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_137620	TcYC6_0028920	85.0	TcYC6_0028920_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb
OG6_101961	BSAL_56910	84.0	BSAL_56910_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
OG6_173626	CFAC1_090023700	84.0	CFAC1_090023700_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_113592	DQ04_07761000	84.0	DQ04_07761000_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_200061	DQ04_11051010	84.0	DQ04_11051010_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6_554122	DQ04_12981000	84.0	DQ04_12981000_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_139395	Tb427tmp.02.1564	84.0	Tb427tmp.02.1564_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_116785	TcIL3000.A.H_000081100	84.0	TcIL3000.A.H_000081100_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_120198	LPAL13_170020100	83.0	LPAL13_170020100_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
OG6_132796	PCON_0067910	83.0	PCON_0067910_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6_210427	PCON_0084000	83.0	PCON_0084000_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_100772	BCY84_00210	82.0	BCY84_00210_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_157979	CFAC1_180005600	82.0	CFAC1_180005600_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_200032	DQ04_11661000	82.0	DQ04_11661000_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_117778	LBRM2903_280005000	82.0	LBRM2903_280005000_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6_389635	Tb1125.5.4535	82.0	Tb1125.5.4535_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_105253	TcBrA4_0054700	82.0	TcBrA4_0054700_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_197789	TcCL_NonESM10914	82.0	TcCL_NonESM10914_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_130273	TcIL3000.A.H_000098100	82.0	TcIL3000.A.H_000098100_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_112741	LMJLV39_360006800	81.0	LMJLV39_360006800_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_200645	LSM04_001393	81.0	LSM04_001393_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_199246	TCSYLVIO_002730	81.0	TCSYLVIO_002730_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_199439	TCSYLVIO_009159	81.0	TCSYLVIO_009159_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb
OG6_389556	Tb927.6.3755	81.0	Tb927.6.3755_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_197084	TcBrA4_0094860	81.0	TcBrA4_0094860_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6_389244	TcIL3000.A.H_000295500	81.0	TcIL3000.A.H_000295500_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_134498	Baya_263_0050	80.0	Baya_263_0050_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6_443830	CFAC1_300020400	80.0	CFAC1_300020400_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_104142	LMARLEM2494_050015100	80.0	LMARLEM2494_050015100_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6_553445	PCON_0055260	80.0	PCON_0055260_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_553312	PCON_0062450	80.0	PCON_0062450_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_389167	Tb1125.9.6855	80.0	Tb1125.9.6855_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_199384	TcSYL_0166330	80.0	TcSYL_0166330_unrelaxed_rank_004_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_200060	DQ04_22781000	79.0	DQ04_22781000_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_179768	LBRM2903_290010400	79.0	LBRM2903_290010400_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_137200	LSM04_009399	79.0	LSM04_009399_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_148842	TCSYLVIO_000658	79.0	TCSYLVIO_000658_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_147952	TcBrA4_0002720	79.0	TcBrA4_0002720_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_148083	TcBrA4_0138300	79.0	TcBrA4_0138300_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_553430	TcSYL_0078870	79.0	TcSYL_0078870_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_121777	TcYC6_0002390	79.0	TcYC6_0002390_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_200049	DQ04_06471030	78.0	DQ04_06471030_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_106867	LMARLEM2494_350060500	78.0	LMARLEM2494_350060500_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_200649	LSM04_003441	78.0	LSM04_003441_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb
OG6_103315	LSM04_005386	78.0	LSM04_005386_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_196905	Tb427.05.4730	78.0	Tb427.05.4730_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_204505	TcIL3000.A.H_000095800	78.0	TcIL3000.A.H_000095800_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
OG6_122634	TcSYL_0089700	78.0	TcSYL_0089700_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_456849	Baya_006_0350	77.0	Baya_006_0350_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6_444153	CFAC1_300104500	77.0	CFAC1_300104500_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6_444328	GH5_02518	77.0	GH5_02518_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_179787	LBRM2903_310043600	77.0	LBRM2903_310043600_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_179246	LMJLV39_200022200	77.0	LMJLV39_200022200_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_110732	LMJSD75_160020800	77.0	LMJSD75_160020800_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb
OG6_196348	PCON_0085320	77.0	PCON_0085320_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6_389119	Tb1125.5.4575	77.0	Tb1125.5.4575_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_197117	TcBrA4_0123210	77.0	TcBrA4_0123210_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_148298	TcCL_ESM04848	77.0	TcCL_ESM04848_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
OG6_220896	TcSYL_0194390	77.0	TcSYL_0194390_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_121743	Tc_MARK_1553	77.0	Tc_MARK_1553_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_149155	DQ04_24591000	76.0	DQ04_24591000_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
OG6_444366	LAEL147_000135300	76.0	LAEL147_000135300_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6_110333	LMJFC_180005300	76.0	LMJFC_180005300_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6_104710	PCON_0008880	76.0	PCON_0008880_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6_389781	TcIL3000.A.H_000126000	76.0	TcIL3000.A.H_000126000_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_198439	TcIL3000.A.H_000263400	76.0	TcIL3000.A.H_000263400_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_199401	TcSYL_0184750	76.0	TcSYL_0184750_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_130866	TcSYL_0194900	76.0	TcSYL_0194900_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_199598	TevSTIB805.11_02.850	76.0	TevSTIB805.11_02.850_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_127263	DQ04_22811000	75.0	DQ04_22811000_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_179288	LARLEM1108_270018100	75.0	LARLEM1108_270018100_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_180260	LMJSD75_280017800	75.0	LMJSD75_280017800_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_148068	LSM04_007967	75.0	LSM04_007967_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_180611	LTULEM423_190021100	75.0	LTULEM423_190021100_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6_388919	Tb1125.10.16125	75.0	Tb1125.10.16125_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6_553772	TcCL_ESM08359	75.0	TcCL_ESM08359_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_197892	TcCL_NonESM06424	75.0	TcCL_NonESM06424_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_197638	TcCL_NonESM08452	75.0	TcCL_NonESM08452_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_198429	TcIL3000.A.H_000068000	75.0	TcIL3000.A.H_000068000_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_199255	TcSYL_0090970	75.0	TcSYL_0090970_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_157368	TevSTIB805.7.3380	75.0	TevSTIB805.7.3380_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb
OG6_110573	Baya_009_0860	74.0	Baya_009_0860_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb
OG6_453266	Baya_462_0010	74.0	Baya_462_0010_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_143311	LBRM2903_290033700	74.0	LBRM2903_290033700_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6_553415	LSM04_002833	74.0	LSM04_002833_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb
OG6_553816	LSM04_005704	74.0	LSM04_005704_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb
OG6_124461	LSM04_007176	74.0	LSM04_007176_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_389847	Tb927.11.14705	74.0	Tb927.11.14705_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_147978	TcBrA4_0025160	74.0	TcBrA4_0025160_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_197034	TcBrA4_0040090	74.0	TcBrA4_0040090_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6_113370	TcG_04882	74.0	TcG_04882_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_130275	TcIL3000.A.H_000098200	74.0	TcIL3000.A.H_000098200_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_148795	TcSYL_0012990	74.0	TcSYL_0012990_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_199225	TcSYL_0069160	74.0	TcSYL_0069160_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_198952	TcSYL_0143130	74.0	TcSYL_0143130_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_148067	TcYC6_0103950	74.0	TcYC6_0103950_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_130806	Tc_MARK_6899	74.0	Tc_MARK_6899_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_197415	BCY84_17397	73.0	BCY84_17397_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6_140425	CFAC1_170006300	73.0	CFAC1_170006300_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_143480	LMJLV39_110012500	73.0	LMJLV39_110012500_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_121441	LSM04_005454	73.0	LSM04_005454_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_535181	LSM04_007346	73.0	LSM04_007346_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_103528	LSM04_009435	73.0	LSM04_009435_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6_215305	PCON_0084140	73.0	PCON_0084140_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6_389367	Tb427_020024200	73.0	Tb427_020024200_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb
OG6_110249	TcBrA4_0049580	73.0	TcBrA4_0049580_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6_212543	TcCL_Unassigned05868	73.0	TcCL_Unassigned05868_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_100660	TcSYL_0176250	73.0	TcSYL_0176250_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6_200314	CFAC1_270057300	72.0	CFAC1_270057300_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_143432	CUR178_06001	72.0	CUR178_06001_unrelaxed_rank_003_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_107907	JIQ42_04230	72.0	JIQ42_04230_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_143116	LARLEM1108_300022200	72.0	LARLEM1108_300022200_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_120363	LENLEM3045_180005100	72.0	LENLEM3045_180005100_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6_552933	LMARLEM2494_250015400	72.0	LMARLEM2494_250015400_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_179799	LPAL13_040011800	72.0	LPAL13_040011800_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_143453	LTRL590_080005800	72.0	LTRL590_080005800_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_180534	LtaP36.6550	72.0	LtaP36.6550_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6_149542	PCON_0085350	72.0	PCON_0085350_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_199284	TCSYLVIO_008358	72.0	TCSYLVIO_008358_unrelaxed_rank_003_alphafold2_ptm_model_3_seed_000.pdb
OG6_200894	TCSYLVIO_009264	72.0	TCSYLVIO_009264_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6_389865	Tb1125.11.18690	72.0	Tb1125.11.18690_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_148564	TcCL_NonESM12834	72.0	TcCL_NonESM12834_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_198908	TcSYL_0021450	72.0	TcSYL_0021450_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6_552669	TcSYL_0094690	72.0	TcSYL_0094690_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_199071	Tc_MARK_9146	72.0	Tc_MARK_9146_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
OG6_111243	Baya_003_0270	71.0	Baya_003_0270_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_444167	CFAC1_250045300	71.0	CFAC1_250045300_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_143419	CUR178_03386	71.0	CUR178_03386_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_180531	JIQ42_03174	71.0	JIQ42_03174_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_128284	LGELEM452_100018300	71.0	LGELEM452_100018300_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6_389112	LSM04_005409	71.0	LSM04_005409_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_143528	LtaP23.0740	71.0	LtaP23.0740_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6r16_180556	LtaP31.1890	71.0	LtaP31.1890_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb
OG6_389673	Tb1125.11.16915	71.0	Tb1125.11.16915_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb
OG6_388991	Tb1125.9.9115	71.0	Tb1125.9.9115_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb
OG6_389598	Tb427_110009000	71.0	Tb427_110009000_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_121514	TcBrA4_0179080	71.0	TcBrA4_0179080_unrelaxed_rank_004_alphafold2_ptm_model_1_seed_000.pdb
OG6r16_130755	TcCL_Unassigned07317	71.0	TcCL_Unassigned07317_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_198295	TcSYL_0027930	71.0	TcSYL_0027930_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_199181	TcSYL_0045740	71.0	TcSYL_0045740_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_157366	TcSYL_0047820	71.0	TcSYL_0047820_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb
OG6r16_113571	TcSYL_0095680	71.0	TcSYL_0095680_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb
OG6r16_148396	TcSYL_0101040	71.0	TcSYL_0101040_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb
OG6r16_113577	TcSYL_0182940	71.0	TcSYL_0182940_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb
