cluster_representer_or_OG	OGsize	OGhypotetical_proteins	only_hypothetical_OG
ADEAN_000487900	49	4.0	False
ADEAN_000488100	40	7.0	False
ADEAN_000490400	64	61.0	False
ADEAN_000490500	60	18.0	False
ADEAN_000490600	63	11.0	False
ADEAN_000491600	69	48.0	False
ADEAN_000494800	31		False
ADEAN_000495900	64	22.0	False
ADEAN_000496500	113	12.0	False
ADEAN_000498600	252	27.0	False
ADEAN_000501900	64	6.0	False
ADEAN_000505700	11	1.0	False
ADEAN_000514300	67	23.0	False
ADEAN_000516100	66	52.0	False
ADEAN_000518300	65	59.0	False
ADEAN_000519300	58	57.0	False
ADEAN_000522300	82	9.0	False
ADEAN_000524700	63	60.0	False
ADEAN_000529900	28	27.0	False
ADEAN_000530700	52	50.0	False
ADEAN_000531300	24	24.0	True
ADEAN_000534300	37	11.0	False
ADEAN_000538000	61	22.0	False
ADEAN_000538400	62	6.0	False
ADEAN_000539800	65	18.0	False
ADEAN_000540100	64	45.0	False
ADEAN_000541500	44	5.0	False
ADEAN_000544500	36	36.0	True
ADEAN_000545200	61	24.0	False
ADEAN_000545700	117	13.0	False
ADEAN_000546700	10	9.0	False
ADEAN_000548200	42	17.0	False
ADEAN_000551000	18	6.0	False
ADEAN_000551600	26	25.0	False
ADEAN_000556100	29	29.0	True
ADEAN_000557100	22	22.0	True
ADEAN_000558900	13	13.0	True
ADEAN_000559400	24	23.0	False
ADEAN_000560900	29		False
ADEAN_000563500	37	37.0	True
ADEAN_000572400	59	53.0	False
ADEAN_000572500	59	7.0	False
ADEAN_000574900	63	6.0	False
ADEAN_000575600	64	15.0	False
ADEAN_000578800	13		False
ADEAN_000581300	38	17.0	False
ADEAN_000582200	44	20.0	False
ADEAN_000582800	48	14.0	False
ADEAN_000583100	27	7.0	False
ADEAN_000583300	61	8.0	False
ADEAN_000584600	66	20.0	False
ADEAN_000585300	30	27.0	False
ADEAN_000587800	378	38.0	False
ADEAN_000588600	37	37.0	True
ADEAN_000590700	40	17.0	False
ADEAN_000591900	29	28.0	False
ADEAN_000594800	14	14.0	True
ADEAN_000595600	66	59.0	False
ADEAN_000599100	115	17.0	False
ADEAN_000599700	39	12.0	False
ADEAN_000600200	49	48.0	False
ADEAN_000601100	10	10.0	True
ADEAN_000602500	61	59.0	False
ADEAN_000604900	14		False
ADEAN_000608200	11	3.0	False
ADEAN_000608400	29		False
ADEAN_000608600	65	6.0	False
ADEAN_000610600	64	63.0	False
ADEAN_000611100	184	19.0	False
ADEAN_000611300	19	18.0	False
ADEAN_000611800	79	8.0	False
ADEAN_000613100	64	7.0	False
ADEAN_000614600	66	65.0	False
ADEAN_000614800	67	6.0	False
ADEAN_000615100	38	6.0	False
ADEAN_000615200	66	26.0	False
ADEAN_000615700	60	60.0	True
ADEAN_000616400	21	21.0	True
ADEAN_000617200	14	14.0	True
ADEAN_000617600	10	9.0	False
ADEAN_000621900	62	44.0	False
ADEAN_000622800	40	3.0	False
ADEAN_000626600	31	6.0	False
ADEAN_000626800	67	62.0	False
ADEAN_000628300	74	8.0	False
ADEAN_000628800	55	21.0	False
ADEAN_000629400	62	6.0	False
ADEAN_000630100	63	6.0	False
ADEAN_000631300	18		False
ADEAN_000631500	27	6.0	False
ADEAN_000631900	33	18.0	False
ADEAN_000633800	26	5.0	False
ADEAN_000643400	34	33.0	False
ADEAN_000645600	59	54.0	False
ADEAN_000646100	39	39.0	True
ADEAN_000651100	66	57.0	False
ADEAN_000652200	61	53.0	False
ADEAN_000653500	38	38.0	True
ADEAN_000654000	67	25.0	False
ADEAN_000654900	13	4.0	False
ADEAN_000657000	58	6.0	False
ADEAN_000661900	112	12.0	False
ADEAN_000662100	56	56.0	True
ADEAN_000662700	94	7.0	False
ADEAN_000663900	30	29.0	False
ADEAN_000665400	26	26.0	True
ADEAN_000674400	65	25.0	False
ADEAN_000678000	64	28.0	False
ADEAN_000678500	49	15.0	False
ADEAN_000684900	66	55.0	False
ADEAN_000686700	30	17.0	False
ADEAN_000690500	62	15.0	False
ADEAN_000690600	68	63.0	False
ADEAN_000692800	56	23.0	False
ADEAN_000693300	35	7.0	False
ADEAN_000696300	40	10.0	False
ADEAN_000698500	11	2.0	False
ADEAN_000698900	66	64.0	False
ADEAN_000700300	67	63.0	False
ADEAN_000700500	13	7.0	False
ADEAN_000701600	68	6.0	False
ADEAN_000704400	58	58.0	True
ADEAN_000704900	12		False
ADEAN_000708400	56	6.0	False
ADEAN_000710500	30	29.0	False
ADEAN_000714600	35	13.0	False
ADEAN_000715600	65	26.0	False
ADEAN_000715800	32	9.0	False
ADEAN_000717100	16	11.0	False
ADEAN_000719500	15	15.0	True
ADEAN_000719800	10	9.0	False
ADEAN_000722700	38	10.0	False
ADEAN_000724300	107	16.0	False
ADEAN_000725500	64	63.0	False
ADEAN_000726100	62	50.0	False
ADEAN_000727300	11	11.0	True
ADEAN_000728100	31	10.0	False
ADEAN_000728300	32	1.0	False
ADEAN_000734700	66	20.0	False
ADEAN_000735800	26	1.0	False
ADEAN_000736800	50	22.0	False
ADEAN_000736900	63	6.0	False
ADEAN_000746000	62	32.0	False
ADEAN_000746500	49	7.0	False
ADEAN_000748900	66	16.0	False
ADEAN_000749100	129	50.0	False
ADEAN_000750000	65	6.0	False
ADEAN_000751700	13	12.0	False
ADEAN_000752700	11	9.0	False
ADEAN_000755800	40	7.0	False
ADEAN_000756500	65	50.0	False
ADEAN_000757700	14	1.0	False
ADEAN_000764200	56	55.0	False
ADEAN_000765900	15	10.0	False
ADEAN_000769500	67	25.0	False
ADEAN_000772200	64	6.0	False
ADEAN_000772700	60	21.0	False
ADEAN_000773600	57	57.0	True
ADEAN_000774100	73	73.0	True
ADEAN_000775300	92	12.0	False
ADEAN_000776200	74	6.0	False
ADEAN_000780200	39	10.0	False
ADEAN_000781300	19	9.0	False
ADEAN_000785400	29	15.0	False
ADEAN_000786300	67	50.0	False
ADEAN_000790600	33	1.0	False
ADEAN_000792200	10	1.0	False
ADEAN_000792900	65	27.0	False
ADEAN_000794500	28	11.0	False
ADEAN_000802000	66	26.0	False
ADEAN_000808400	64	6.0	False
ADEAN_000812500	69	25.0	False
ADEAN_000816800	43	14.0	False
ADEAN_000823900	34	34.0	True
ADEAN_000824500	27	13.0	False
ADEAN_000825200	66	47.0	False
ADEAN_000828300	15	15.0	True
ADEAN_000832200	11	3.0	False
ADEAN_000833200	27	19.0	False
ADEAN_000834200	69	10.0	False
ADEAN_000834400	32	32.0	True
ADEAN_000842600	62	61.0	False
ADEAN_000848400	42	1.0	False
ADEAN_000849200	59	58.0	False
ADEAN_000849300	53	46.0	False
ADEAN_000851600	66	6.0	False
ADEAN_000854100	111	12.0	False
ADEAN_000855100	64	6.0	False
ADEAN_000862700	64	6.0	False
ADEAN_000863400	30	20.0	False
ADEAN_000864600	63	12.0	False
ADEAN_000865000	40	15.0	False
ADEAN_000868200	59	51.0	False
ADEAN_000868600	35	5.0	False
ADEAN_000869600	45	39.0	False
ADEAN_000870400	65	6.0	False
ADEAN_000871200	45	14.0	False
ADEAN_000874000	30	1.0	False
ADEAN_000881900	61	61.0	True
ADEAN_000883500	66	7.0	False
ADEAN_000884100	70	8.0	False
ADEAN_000885500	112	14.0	False
ADEAN_000887100	91	1.0	False
ADEAN_000889600	68	7.0	False
ADEAN_000892600	13		False
ADEAN_000893700	24	24.0	True
ADEAN_000895800	53	26.0	False
ADEAN_000897400	67	6.0	False
ADEAN_000897800	62	25.0	False
ADEAN_000898000	67	6.0	False
ADEAN_000898500	68	39.0	False
ADEAN_000903300	68	6.0	False
ADEAN_000905400	83	6.0	False
ADEAN_000908200	66	21.0	False
ADEAN_000913500	60	60.0	True
ADEAN_000913900	66	17.0	False
ADEAN_000923900	13	11.0	False
ADEAN_000924300	38	38.0	True
ADEAN_000927500	30		False
ADEAN_000930000	21	16.0	False
ADEAN_000936800	48	6.0	False
ADEAN_000939500	62	6.0	False
ADEAN_000949100	11	1.0	False
ADEAN_000950900	69	7.0	False
ADEAN_000954600	38	37.0	False
ADEAN_000962300	11		False
ADEAN_000963900	73	54.0	False
ADEAN_000964400	36	34.0	False
ADEAN_000968000	59	20.0	False
ADEAN_000968700	34	34.0	True
ADEAN_000971100	38	9.0	False
ADEAN_000974600	36	28.0	False
ADEAN_000976400	57	19.0	False
ADEAN_000977400	32		False
ADEAN_000980000	34	11.0	False
ADEAN_000981900	149	10.0	False
ADEAN_000985300	159	12.0	False
ADEAN_000985400	64	7.0	False
ADEAN_000990600	36	36.0	True
ADEAN_000998300	64	22.0	False
ADEAN_000998900	47	47.0	True
ADEAN_000999100	30	6.0	False
ADEAN_001000600	58	57.0	False
ADEAN_001004600	65	65.0	True
ADEAN_001005200	70	37.0	False
ADEAN_001005800	60	60.0	True
ADEAN_001005900	63	49.0	False
ADEAN_001006000	66	24.0	False
ADEAN_001011800	212	70.0	False
ADEAN_001012600	72	49.0	False
ADEAN_001012700	56	56.0	True
ADEAN_001015400	60	38.0	False
ADEAN_001017700	24	24.0	True
ADEAN_001018100	70	57.0	False
ADEAN_001019400	36	11.0	False
ADEAN_001019800	64	58.0	False
ADEAN_001025300	65	26.0	False
ADEAN_001025700	65	6.0	False
ADEAN_001027000	65	31.0	False
ADEAN_001028100	63	57.0	False
ADEAN_001033100	64	7.0	False
ADEAN_001033700	60	56.0	False
ADEAN_001037700	62	12.0	False
ADEAN_001044600	73	6.0	False
ADEAN_001044800	36	36.0	True
ADEAN_001045600	49	8.0	False
ADEAN_001047300	36	36.0	True
ADEAN_001048100	13	12.0	False
ADEAN_001049900	37	11.0	False
ADEAN_001051300	12	12.0	True
ADEAN_001051700	11	2.0	False
ADEAN_001053700	70	6.0	False
ADEAN_001054100	73	66.0	False
ADEAN_001054300	67	7.0	False
ADEAN_001055000	36	36.0	True
ADEAN_001055100	66	20.0	False
ADEAN_001055600	61	11.0	False
BCY84_00566	71	6.0	False
BCY84_00577	63	19.0	False
BCY84_00620	36	1.0	False
BCY84_00648	27	26.0	False
BCY84_00750	11		False
BCY84_00885	14	7.0	False
BCY84_00996	26		False
BCY84_01085	11	10.0	False
BCY84_01565	29	9.0	False
BCY84_01625	13	13.0	True
BCY84_01822	113		False
BCY84_01950	10	10.0	True
BCY84_02191	17		False
BCY84_02260	15	14.0	False
BCY84_02290	16		False
BCY84_02379	15		False
BCY84_02720	15	14.0	False
BCY84_02771	46	38.0	False
BCY84_02814	13	12.0	False
BCY84_02820	19	9.0	False
BCY84_02860	15		False
BCY84_03031	18	18.0	True
BCY84_03153	14		False
BCY84_03156	20	9.0	False
BCY84_03255	65	7.0	False
BCY84_03351	10	10.0	True
BCY84_03431	288	1.0	False
BCY84_04541	250		False
BCY84_04620	22	20.0	False
BCY84_04672	22		False
BCY84_05030	66	6.0	False
BCY84_05076	15	14.0	False
BCY84_05488	10	8.0	False
BCY84_05645	17	8.0	False
BCY84_05927	1520	9.0	False
BCY84_05943	17		False
BCY84_06146	12	12.0	True
BCY84_06227	19		False
BCY84_06807	31	31.0	True
BCY84_06972	28	28.0	True
BCY84_07009	63	6.0	False
BCY84_09068	278	3.0	False
BCY84_10180	41	16.0	False
BCY84_10694	431	14.0	False
BCY84_11177	107	13.0	False
BCY84_11479	513	50.0	False
BCY84_11562	22	22.0	True
BCY84_11615	10	9.0	False
BCY84_11776	67	63.0	False
BCY84_11800	27	27.0	True
BCY84_11808	53	18.0	False
BCY84_11852	64	27.0	False
BCY84_12265	19	19.0	True
BCY84_12316	25		False
BCY84_12346	22	22.0	True
BCY84_12596	16	16.0	True
BCY84_12667	29	27.0	False
BCY84_12757	47	46.0	False
BCY84_12957	67	25.0	False
BCY84_12991	13	13.0	True
BCY84_13403	12	12.0	True
BCY84_13601	53	53.0	True
BCY84_14006	63	18.0	False
BCY84_14404	16	15.0	False
BCY84_14410	49	10.0	False
BCY84_14513	132	116.0	False
BCY84_14547	25	24.0	False
BCY84_15030	29	10.0	False
BCY84_15071	50	6.0	False
BCY84_15072	12	12.0	True
BCY84_15247	115	12.0	False
BCY84_15821	60	59.0	False
BCY84_15822	16	15.0	False
BCY84_16244	19	10.0	False
BCY84_16469	24	23.0	False
BCY84_17586	56		False
BCY84_17674	36		False
BCY84_18093	80		False
BCY84_18227	27	1.0	False
BCY84_18326	26	10.0	False
BCY84_18395	15	5.0	False
BCY84_18599	65	27.0	False
BCY84_18630	10	10.0	True
BCY84_18820	60	59.0	False
BCY84_18852	14	8.0	False
BCY84_18875	162	39.0	False
BCY84_18991	24	1.0	False
BCY84_19030	28	17.0	False
BCY84_19033	12	10.0	False
BCY84_19035	21	19.0	False
BCY84_19058	57	32.0	False
BCY84_19454	135		False
BCY84_19570	65	60.0	False
BCY84_19648	46		False
BCY84_19902	30	28.0	False
BCY84_20379	26		False
BCY84_20444	15	7.0	False
BCY84_20515	51	6.0	False
BCY84_20695	16	15.0	False
BCY84_20913	279	2.0	False
BCY84_21131	60	5.0	False
BCY84_21580	11	11.0	True
BCY84_21652	128		False
BCY84_21692	17		False
BCY84_21740	16	11.0	False
BCY84_21741	59	17.0	False
BCY84_21955	23	21.0	False
BCY84_22031	14	13.0	False
BCY84_22514	52	1.0	False
BCY84_22770	12	7.0	False
BCY84_22868	26		False
BCY84_22890	12	11.0	False
BSAL_00045	17	17.0	True
BSAL_00275	127	28.0	False
BSAL_00345	65	6.0	False
BSAL_00690	36		False
BSAL_00865	11	7.0	False
BSAL_01370	10		False
BSAL_01620	39	6.0	False
BSAL_01685	37	7.0	False
BSAL_01940c	72	22.0	False
BSAL_02430	89	27.0	False
BSAL_02455	29	7.0	False
BSAL_02680	60	55.0	False
BSAL_02685	28	10.0	False
BSAL_02885	16	6.0	False
BSAL_02890	65	64.0	False
BSAL_03275	56	6.0	False
BSAL_03605	67	7.0	False
BSAL_03630	101	31.0	False
BSAL_03645	64	25.0	False
BSAL_03700	119	16.0	False
BSAL_03730	79	74.0	False
BSAL_03795	36	5.0	False
BSAL_03910	28	26.0	False
BSAL_04040	62	26.0	False
BSAL_04155	27	1.0	False
BSAL_04165	11	3.0	False
BSAL_04445	62	7.0	False
BSAL_04600	30	29.0	False
BSAL_04755	66	18.0	False
BSAL_05235	64	6.0	False
BSAL_05620	63	8.0	False
BSAL_05680	39	17.0	False
BSAL_05685	66	6.0	False
BSAL_05695	61	6.0	False
BSAL_05785	58	17.0	False
BSAL_06205	26		False
BSAL_06260	28		False
BSAL_06340	33	16.0	False
BSAL_06365	45	12.0	False
BSAL_06465	23	22.0	False
BSAL_06525	65	29.0	False
BSAL_06530	66	62.0	False
BSAL_06580	54	8.0	False
BSAL_06605	26	12.0	False
BSAL_07295	70	7.0	False
BSAL_07420	125	13.0	False
BSAL_07780	15		False
BSAL_07895	29		False
BSAL_07975	70	22.0	False
BSAL_08120	19	1.0	False
BSAL_08240	65	59.0	False
BSAL_08280	68	62.0	False
BSAL_08540	15	4.0	False
BSAL_08665	64	6.0	False
BSAL_08820	60	7.0	False
BSAL_08890	62	62.0	True
BSAL_09105	69	69.0	True
BSAL_09320	21	15.0	False
BSAL_09370	53	51.0	False
BSAL_09385	20		False
BSAL_09725	10	1.0	False
BSAL_09750	66	17.0	False
BSAL_09805	62	6.0	False
BSAL_09810	70	69.0	False
BSAL_09825	64	19.0	False
BSAL_09905	67	49.0	False
BSAL_09980	63	47.0	False
BSAL_10175	32	15.0	False
BSAL_10240	54	47.0	False
BSAL_10245	17	16.0	False
BSAL_10290	11	2.0	False
BSAL_10470	60	59.0	False
BSAL_10980	38	6.0	False
BSAL_11270	67	65.0	False
BSAL_11470	59	6.0	False
BSAL_11525	38	8.0	False
BSAL_11555	36	9.0	False
BSAL_11770	64	64.0	True
BSAL_11785	10	5.0	False
BSAL_11905	131	57.0	False
BSAL_12270	14	12.0	False
BSAL_12420	15	11.0	False
BSAL_12425	66	6.0	False
BSAL_12440	67	6.0	False
BSAL_12460	16	6.0	False
BSAL_12470	64	21.0	False
BSAL_12720	40	26.0	False
BSAL_12900	62	6.0	False
BSAL_12915	66	7.0	False
BSAL_13300	63	6.0	False
BSAL_13435	62	11.0	False
BSAL_13510	57	24.0	False
BSAL_13525	65	62.0	False
BSAL_14095	28	7.0	False
BSAL_14165	15	3.0	False
BSAL_14325	18	15.0	False
BSAL_14360	57	6.0	False
BSAL_14445	68	7.0	False
BSAL_14535	47	16.0	False
BSAL_14710	69	22.0	False
BSAL_15155	67	36.0	False
BSAL_15235	67	65.0	False
BSAL_15445	28	12.0	False
BSAL_15475	58	58.0	True
BSAL_15525	65	17.0	False
BSAL_15700	35	1.0	False
BSAL_15940	23		False
BSAL_16545	64	7.0	False
BSAL_16625	58	3.0	False
BSAL_16985	64	6.0	False
BSAL_17030	49	49.0	True
BSAL_17050	59	15.0	False
BSAL_17295	65	7.0	False
BSAL_17365	59	15.0	False
BSAL_17375	53	13.0	False
BSAL_17390	66	7.0	False
BSAL_17395	61	22.0	False
BSAL_17445	67	34.0	False
BSAL_17460	65	26.0	False
BSAL_17480	63	6.0	False
BSAL_17560	128	11.0	False
BSAL_17680	157	8.0	False
BSAL_17690	546	39.0	False
BSAL_17860	16	14.0	False
BSAL_17885	51	19.0	False
BSAL_18035	43	9.0	False
BSAL_18045	38	37.0	False
BSAL_18260	26	26.0	True
BSAL_18380	64	58.0	False
BSAL_18570	39	16.0	False
BSAL_18675	63	6.0	False
BSAL_18880	76	9.0	False
BSAL_18890	61	5.0	False
BSAL_19145	66	65.0	False
BSAL_19180	65	29.0	False
BSAL_19210	63	53.0	False
BSAL_19605	90	7.0	False
BSAL_19620	20	18.0	False
BSAL_19655	93	15.0	False
BSAL_19690	61	61.0	True
BSAL_19795	68	11.0	False
BSAL_19800	26	1.0	False
BSAL_20040	64	6.0	False
BSAL_20210	60	9.0	False
BSAL_20430	30	17.0	False
