Ortholog_Group	Gene ID	uniprot	pLDDT_mean
Lsey_0588_0020	LdBPK_313170.1	E9BN87	97.0
LSM04_003616	TM35_000032020	A0A1X0P799	97.0
ADEAN_000599100	Tb427.03.3760	Q57WB2	97.0
LpyrH10_08_1130	TM35_000092030	A0A1X0P099	97.0
BSAL_92275	TEOVI_000386000	A0A1G4IIE9	97.0
TRSC58_02591	TcCLB.509213.70	Q4DGY1	97.0
Tb11.v5.0729	LINF_270009300	A4I2M8	97.0
PCON_0030430	LdCL_360056200	A0A3S7XBN0	97.0
BSAL_48245	LmjF.11.0130	Q4QH67	97.0
LENLEM3045_270013100	Tb927.11.1330	Q387B9	97.0
TcCL_ESM02350	ADEAN_000817200	A0A7G2CLC2	97.0
CFAC1_270063700	Lsey_0171_0200	A0A0N1PCK0	97.0
TRSC58_01548	TcCLB.506247.220	Q4E133	97.0
Baya_033_0290	TcCLB.508169.69	Q4D5W5	97.0
PCON_0066040	LmxM.10.0890	E9AN99	97.0
GH5_08158	TRSC58_00152	A0A061JD91	97.0
TCSYLVIO_001112	TcCLB.507889.10	A0A2V2WJH7	97.0
LpyrH10_02_4140	TcCLB.506727.100	Q4DAM7	97.0
TcG_03163	TcG_03163	A0A1S5Q854	97.0
LTULEM423_280036100	TvY486_1112250	G0UD31	97.0
BSAL_71490	BSAL_71490	A0A0S4IZQ3	97.0
TcCL_NonESM13128	TRSC58_04631	A0A3R7R341	97.0
ADEAN_000751700	ADEAN_000993300	A0A7G2CST9	97.0
PCON_0046630	LINF_330021300	A4I904	97.0
BSAL_65290	ECC02_003153	A0A2V2VYP1	97.0
DQ04_09211030	BSAL_71935	A0A0S4ISS8	97.0
Tbg972.4.1700	LPMP_202590	A0A088RPK8	97.0
ECC02_000836	BCY84_12809	A0A2V2XAS2	97.0
TcIL3000_0_01600	TcIL3000_0_01600	F9WGI0	97.0
LtaPh_2829300	TM35_000371460	A0A1X0NL49	97.0
BSAL_24005	LBRM2903_340024600	A4HML1	97.0
LTULEM423_350005000	TRSC58_02469	A0A422NPT0	97.0
BSAL_37325	LPMP_342210	A0A088SJ45	97.0
PCON_0039850	Tb927.7.3020	Q57YB2	97.0
TM35_000161060	LMJSD75_110021500	Q4QGU6	97.0
PCON_0023790	LdCL_140019900	H6V7A9	97.0
ECC02_003979	TcIL3000.11.16620	G0V3C7	97.0
JIQ42_08453	Tb927.9.4040	Q38FD5	97.0
LbrM.32.2980	LdCL_320034700	A0A504XHV5	97.0
BSAL_36665	LBRM2903_120007300	A4H6T7	97.0
LMJFC_210028800	LdCL_210026400	A0A3Q8IB07	97.0
LENLEM3045_210020300	LDHU3_34.1040	A0A3Q8IE60	97.0
Baya_149_0110	Tb927.6.4670	Q587D3	97.0
CFAC1_280065800	LpyrH10_06_3770	A0A0N0VFV2	97.0
LMARLEM2494_010010100	LINF_010009900	A4HRH1	97.0
PCON_0028170	LMJLV39_080016600	Q4QI38	97.0
DQ04_05151020	TcCLB.506801.80	Q4DH32	97.0
TcCL_NonESM00772	LDHU3_26.0420	B8Y658	97.0
BSAL_38775	Tb927.9.12630	Q38DE9	97.0
ADEAN_000220500	LINF_340051600	A4IAK6	97.0
BSAL_91050	LdBPK_272390.1	A0A3S7X118	97.0
PCON_0074010	LINF_310023500	A4I6U0	97.0
PCON_0013500	LBRM2903_350040900	A4HPG7	97.0
TvY486_1013610	TEOVI_000823000	A0A1G4I442	97.0
BSAL_54830	TRSC58_03571	A0A061J5Z8	97.0
Tb1125.8.5630	TcCLB.508373.20	Q4CSV8	97.0
C4B63_142g25	C4B63_165g15	A0A2V2UQA4	97.0
ADEAN_000152800	TvY486_1004460	G0U692	97.0
ADEAN_001011800	LpyrH10_43_0020	A0A0M9FPA2	97.0
CFAC1_290037700	TcIL3000.A.H_000384300	Q585I8	97.0
BSAL_79430	C3747_18g225	A0A2V2X9J4	97.0
BSAL_05695	TcCLB.504797.40	Q4DJ25	97.0
TcCL_NonESM02202	TM35_000161800	A0A1X0NV32	97.0
LBRM2903_100017200	TcCLB.509563.30	Q4D008	97.0
TcCLB.508153.560	Tb927.3.3040	Q57ZK8	97.0
LpyrH10_34_0230	LmxM.03.0200	E9AJQ5	97.0
PCON_0056070	LBRM2903_250026100	A4HEH1	97.0
ADEAN_000288300	Tb427.08.550	Q57YH5	97.0
LPMP_180430	TRSC58_02309	A0A061J517	97.0
Baya_107_0220	TM35_000023960	A0A1X0P9E0	97.0
CFAC1_180021200	TcIL3000_10_4760	G0UWE7	97.0
ADEAN_000438500	LtaPh_3013600	A0A640KLY1	97.0
Baya_160_0140	BCY84_04993	A0A2V2XDJ2	96.0
TevSTIB805.11_01.14460	TcCL_Unassigned02758	A0A2V2VLQ9	96.0
LPMP_271790	C3747_262g7	A0A2V2WET0	96.0
PCON_0011970	Tb927.11.13870	Q382F0	96.0
LpyrH10_37_0500	LpyrH10_37_0500	A0A0N0DQM8	96.0
TcBrA4_0028450	ADEAN_000549600	A0A7G2CDT1	96.0
Tbg972.6.2090	LbrM.30.0940	A0A3P3ZCH2	96.0
TcCLB.453445.20	LINF_040011900	A4HS64	96.0
DQ04_04151050	TcCLB.510719.35	Q4DXV5	96.0
BSAL_02890	C4B63_189g32	A0A2V2W040	96.0
TRSC58_04038	LINF_360007800	A4ICW1	96.0
LdBPK_362890.1	LPMP_352820	A0A088S2D2	96.0
PCON_0041640	LPMP_353890	A0A088S2P2	96.0
TcSYL_0006270	TcBrA4_0014770	A0A2V2X900	96.0
PCON_0080690	TCDM_02067	V5BMP6	96.0
TRSC58_05574	TCDM_04831	V5B007	96.0
BSAL_41565	TcCLB.507049.60	Q4DPX8	96.0
Baya_025_0060	TcCLB.508637.90	A0A2V2UVX8	96.0
Baya_091_0200	Tbg972.7.1780	C9ZS70	96.0
LpyrH10_01_0670	TEOVI_000556100	A0A1G4I7W3	96.0
LpyrH10_23_0930	LINF_300026200	A4I5N8	96.0
PCON_0084980	LbrM.31.0720	A4HJ34	96.0
LAEL147_000425900	LpyrH10_27_0050	A0A0N0DRK3	96.0
PCON_0024650	TM35_000251530	A0A1X0NQ93	96.0
BSAL_37005	LMJFC_140021500	Q4QFJ8	96.0
LSM04_006042	BSAL_53545	A0A0S4IIG2	96.0
LSM04_000613	Tc_MARK_10040	A0A2V2V8W4	96.0
PCON_0073030	TcIL3000_8_6240	G0USN4	96.0
DQ04_01021100	TEOVI_000611600	A0A1G4I709	96.0
JKF63_04182	LINF_260020700	A4I291	96.0
ADEAN_000903300	Tbg.972.2.2670	C9ZJG4	96.0
C3747_62g282	TvY486_0500360	G0TV60	96.0
Baya_229_0020	LINF_030014200	A4HRX7	96.0
TvY486_0904890	LDHU3_35.5390	A0A3Q8IQ15	96.0
LMJSD75_330016700	LBRM2903_330016300	A4HLF1	96.0
BSAL_34590	LpyrH10_01_3100	X2C417	96.0
TcYC6_0099720	ADEAN_000966200	S9UPT5	96.0
LtaPh_1102600	LmxM.14.0310	E9APM4	96.0
BSAL_17050	LdBPK_301880.1	E9BLT1	96.0
PCON_0006640	ADEAN_000339900	S9UX39	96.0
TRSC58_03741	LINF_330032000	E9AHP8	96.0
TcSYL_0036690	ECC02_011619	A0A2V2V9I0	96.0
TcYC6_0105990	BCY84_00173	A0A7J6XNX4	96.0
TM35_000016670	TcCLB.508257.70	Q4DX52	96.0
PCON_0013070	TcCLB.427789.30	Q4CPU6	96.0
CUR178_06976	LDHU3_18.0160	A0A3S7WUR2	96.0
TvY486_1105600	LINF_240012500	A4I0R3	96.0
BSAL_73825	ADEAN_000495300	A0A7G2CDH4	96.0
TCSYLVIO_008288	LINF_360061300	A4IDU0	96.0
TRSC58_04435	Tb927.1.1770	Q4GZ42	96.0
ADEAN_000391100	LINF_320005800	A4I7H1	96.0
DQ04_00101290	LBRM2903_280026400	A4HGN7	96.0
LpyrH10_04_6210	LdCL_300037900	A0A504X6G5	96.0
LSCM4_06999	LINF_170022100	A4HXM4	96.0
PCON_0032260	LINF_130021300	A4HVS0	96.0
BSAL_43445	LINF_350026800	E9AHV7	96.0
PCON_0037440	TcCLB.510689.80	Q4D574	96.0
LpyrH10_06_5370	LdBPK_061330.1	E9B8Z2	96.0
BSAL_17560	Tb927.6.1800	Q585N1	96.0
LpyrH10_21_0570	TcCLB.506517.149	Q4DDA3	96.0
PCON_0037120	TRSC58_00495	A0A061JE53	96.0
BCY84_11177	TcCL_NonESM04612	A0A2V2V1Y5	96.0
LbrM.30.2450	ECC02_013215	A0A7J6XIH1	96.0
BSAL_85840	LGELEM452_240013600	A2CIG3	96.0
PCON_0016190	C3747_57g67	A0A2V2UV62	96.0
TM35_000011730	LINF_030005300	E9AG24	96.0
DQ04_00071220	BSAL_52980	A0A0S4ILF8	96.0
LDHU3_10.1260	TcCLB.511407.10	Q4D7W2	96.0
LtaP27.2460	LMJLV39_270031200	E9ACV4	96.0
LtaPh_2001061	LMJLV39_000016100	Q27683	96.0
TRSC58_06038	TvY486_0013160	F9WM68	96.0
TcSYL_0033490	Tc_MARK_1595	A0A2V2UHJ3	96.0
ADEAN_000611100	BSAL_02845	A0A0S4JWH0	96.0
C3747_31g282	ECC02_010673	A0A7J6XPX8	96.0
TRSC58_05451	Lsey_0264_0110	A0A0N0P441	96.0
CFAC1_190026900	LPAL13_320022300	A7UFJ9	96.0
Lsey_0366_0060	TcCLB.509611.20	Q4DKA4	96.0
LtaP24.1920	TvY486_0301600	G0TSP4	96.0
TRSC58_06324	C3747_689g7	A0A2V2URD7	96.0
TM35_000432080	TM35_000432080	A0A1X0NKK7	96.0
LMARLEM2494_330023600	TM35_000084210	A0A1X0P1Q0	96.0
JIQ42_06110	LPMP_161280	A0A088RM45	96.0
TcSYL_0080650	LINF_270009100	A4I2M6	96.0
EMOLV88_360005300	TcCLB.506507.10	Q4CZT5	96.0
DQ04_00921190	TM35_000141220	A0A1X0NWB5	96.0
TcCL_NonESM02596	TEOVI_000336100	A0A1G4IH72	96.0
ADEAN_000748900	LINF_240006100	E9AH25	96.0
Tb427.07.4780	TcCLB.508577.150	Q4DPB8	96.0
BSAL_18890	LINF_310033900	A4I763	96.0
Baya_049_0270	TcCLB.507023.50	Q4DZ81	96.0
ADEAN_000390800	Lsey_0020_0380	A0A0N1IM73	96.0
DQ04_00291180	LdCL_140020400	A0A3Q8ID88	96.0
C3747_25g115	TRSC58_04412	A0A061IYY7	96.0
Tbg972.10.430	ADEAN_000984100	A0A7G2CTB8	96.0
PCON_0047860	LdBPK_354590.1	A0A3S7X9Y4	96.0
TevSTIB805.9.2820	Tb927.9.3780	Q38FF5	96.0
LPMP_341340	LINF_350019900	A4IB49	96.0
TcBrA4_0098880	C3747_62g281	A0A2V2WSB9	96.0
ADEAN_000196800	TcCL_ESM05530	A0A2V2W5C2	96.0
ADEAN_000487900	TM35_000111440	A0A1X0NZN4	96.0
ADEAN_000442400	Lsey_0022_0380	A0A0N0P8H0	96.0
C4B63_40g159	LMJSD75_360060900	Q4Q0R9	96.0
Baya_063_0060	LMJFC_330038800	Q4Q3T2	96.0
BSAL_07895	BSAL_07895	A0A0S4J6Z6	96.0
TcCL_ESM03917	LINF_350054100	Q7JMX2	96.0
EMOLV88_180005100	Tb927.10.13560	Q388P2	96.0
LbrM.33.1020	TCSYLVIO_007017	A0A2V2UL87	96.0
GH5_00011	TRSC58_06779	A0A422NB24	96.0
CFAC1_230007800	Lsey_0121_0020	A0A0N1I6N7	96.0
TcBrA4_0055630	TvY486_0001980	F9WP63	96.0
TM35_000202460	TcIL3000_7_5130	G0UQN8	96.0
ADEAN_000218300	LpyrH10_09_0080	A0A0N0DV36	96.0
ECC02_000826	Tb927.8.1910	Q581Z1	96.0
Baya_005_1020	Tb927.10.15960	Q387R8	96.0
ADEAN_000662700	TcIL3000_8_2210	G0URJ0	96.0
BSAL_86080	LINF_320036100	A4I8B0	96.0
LSCM4_02362	LbrM.33.0520	A0A3P3ZFE9	96.0
Baya_369_0010	TcCLB.510573.10	Q4CLA9	96.0
BSAL_54845	LINF_360078300	E9AHZ7	96.0
PCON_0016000	TcCLB.506565.8	Q4CWG9	96.0
BSAL_80560	LbrM.11.1030	A4H6P9	96.0
Baya_057_0010	LINF_290031300	A4I4V0	96.0
ADEAN_000277300	LdCL_200005500	A0A504X957	96.0
LpyrH10_01_2060	ADEAN_000210000	S9UJH8	96.0
ADEAN_000551000	ADEAN_000551000	A0A7G2CGM4	96.0
LtaP15.0670	ADEAN_000338400	A0A7G2C850	96.0
TM35_000083730	ADEAN_000521000	S9VKV6	96.0
LmxM.31.2970	ADEAN_000041100	S9WQT8	96.0
TcIL3000.A.H_001022300	TcCLB.506821.150	Q4DNN0	96.0
TevSTIB805.11_01.910	TM35_000052070	A0A1X0P451	96.0
TRSC58_03256	LMJLV39_050013200	Q4QJB9	96.0
Tc_MARK_2402	BSAL_02245	A0A0S4JKS1	96.0
TcIL3000_9_2150	TcBrA4_0118800	O96507	96.0
LSM04_006972	Tc_MARK_5687	A0A2V2WSN9	96.0
TcIL3000_5_4990	TcYC6_0015570	A0A2V2W9H1	96.0
TM35_000241550	Tb927.11.11870	Q382Z4	96.0
TcCL_NonESM08382	TCDM_03994	A0A2V2VR89	96.0
C3747_423g7	TcCLB.510099.120	Q4DAE1	96.0
TM35_000014360	TRSC58_06590	R9TL09	96.0
Lsey_0112_0190	LINF_270033860	A4HRR9	96.0
TevSTIB805.11_01.17350	LpyrH10_02_3760	A0A0M9G8P4	96.0
Tb1125.Tb11.v5.0560	TvY486_0039070	F9WTW8	96.0
LpyrH10_14_0900	LdBPK_300940.1	E9BLI7	96.0
ADEAN_000194400	ADEAN_000661100	S9WVC1	96.0
EMOLV88_350041200	LmxM.34.3780	E9B6Q4	96.0
LpyrH10_26_0190	LINF_150022800	A4HWN5	96.0
ECC02_006575	TcCLB.506625.140	A0A2V2UVZ3	96.0
TcG_05375	TcCLB.506227.170	Q4DSV3	96.0
Tc_MARK_2446	TcCLB.510689.20	Q4D580	96.0
CUR178_08309	TcCLB.510887.64	Q4D1N7	96.0
ADEAN_000587800	LbrM.22.0720	A4HCD3	96.0
TM35_000411580	TcCLB.509235.10	Q4CLX4	96.0
PCON_0043560	TcCLB.509999.90	Q4DKK5	95.0
JIQ42_06593	TcCL_ESM02500	A0A2V2XH06	95.0
BSAL_94460	BSAL_88235	A0A0S4KFI2	95.0
ADEAN_000200600	ADEAN_000200600	A0A7G2C4Y4	95.0
TcYC6_0032520	TvY486_0801550	G0U0E8	95.0
BSAL_30880	Tb927.10.4850	Q38BB6	95.0
PCON_0028690	TcIL3000_10_6720	G0UWY2	95.0
GH5_02237	TM35_000083120	A0A1X0P0P2	95.0
LmjF.20.0660	TcCLB.506479.39	Q4DIA8	95.0
LpyrH10_21_1310	C4B63_25g221	A0A2V2VGC4	95.0
PCON_0058060	Lsey_0216_0030	A0A0N1I426	95.0
C4B63_333g17	Tbg972.1.1380	C9ZIG5	95.0
PCON_0066410	LdBPK_242200.1	E9BH82	95.0
TcIL3000_7_3000	TcIL3000_7_3000	G0UQ25	95.0
BSAL_38015	LINF_070017500	A4HTD5	95.0
LdCL_340039100	LpyrH10_05_4240	A0A0N0DX32	95.0
TRSC58_03962	TvY486_0303620	G0TTA5	95.0
TvY486_0500540	LdBPK_351260.1	A0A3Q8IP85	95.0
JKF63_05716	LpyrH10_20_0020	A0A0M9FUG2	95.0
TcSYL_0108740	Tb927.10.7960	Q38AG8	95.0
Baya_137_0070	TcCLB.507615.70	Q4DN31	95.0
TcIL3000.A.H_000456900	LdCL_300011100	A0A3S7X311	95.0
DQ04_09091010	LpyrH10_23_0180	A0A0N0DSB4	95.0
Tc_MARK_4499	TCDM_00231	A0A2V2W241	95.0
Lsey_0296_0060	LINF_050014800	A4HSL8	95.0
LTULEM423_200020400	TcCLB.510955.40	Q4CZ83	95.0
ADEAN_000342000	Tb927.11.16390	Q381E7	95.0
LARLEM1108_260007800	TcCLB.511051.70	Q4D5P1	95.0
TvY486_0705230	LINF_060011200	A4HSU8	95.0
PCON_0043900	Tb927.10.660	Q38CH4	95.0
TvY486_0800430	TCDM_13769	V5BYE2	95.0
LpyrH10_01_7670	LMJFC_350067000	E9AFZ8	95.0
PCON_0056510	Tb927.3.2210	Q582T4	95.0
CFAC1_050018000	BSAL_50465	A0A0S4KH93	95.0
LSM04_009407	LINF_010008200	A4HRF4	95.0
PCON_0061930	LMJLV39_310005900	Q4Q6Q4	95.0
CFAC1_090016400	LINF_170016000	A4HXG7	95.0
Tc_MARK_4982	TRSC58_06076	A0A061IYY9	95.0
C3747_859g3	C4B63_37g398	A0A2V2VDS8	95.0
TcCL_ESM11424	ECC02_000740	A0A7J6YHJ1	95.0
ADEAN_000883500	ADEAN_000883500	A0A7G2CS61	95.0
PCON_0076360	LDHU3_23.0870	A0A3Q8IM07	95.0
BSAL_45125	BSAL_45125	A0A0S4KLN9	95.0
TvY486_0601330	LbrM.30.0540	A0A3P3ZCC4	95.0
LBRM2903_000006200	LbrM.10.1680	A4H6E4	95.0
ADEAN_000719800	ADEAN_000691600	A0A7G2CKD5	95.0
ADEAN_000700500	Lsey_0010_0470	A0A0N1PGC2	95.0
BCY84_15247	TcG_00812	A0A2V2XHB2	95.0
ADEAN_000583300	TcCLB.511807.284	Q4E1B6	95.0
ADEAN_000870400	ADEAN_000870400	A0A7G2CRM1	95.0
LAEL147_000755300	TM35_000172790	A0A1X0NUM1	95.0
Tc_MARK_3371	Tb927.9.8450	Q38EC4	95.0
LtaPh_0404400	Tc_MARK_5873	A0A2V2WGK4	95.0
TRSC58_02114	LmxM.17.0084	E9ARD4	95.0
BSAL_64685	TcIL3000.A.H_000330400	Q57ZM3	95.0
ADEAN_000834200	LpyrH10_03_1670	A0A0M9G7A2	95.0
LmxM.04.0320	LDHU3_04.0380	A0A6J8F4U5	95.0
LSM04_009033	LmxM.06.0370	E9AKR5	95.0
TvY486_0008090	LINF_360039100	A4ID98	95.0
LtaP13.1530	TcCLB.503709.20	Q4CPI8	95.0
DQ04_00601050	LDHU3_34.4620	A0A504XHQ7	95.0
TRSC58_05702	TcCLB.507017.20	Q4DFE4	95.0
TvY486_0200476	BSAL_35265	A0A0S4JQ02	95.0
Baya_111_0200	LINF_310006900	A4I6B0	95.0
JIQ42_08203	LINF_030005200	E9AG23	95.0
BSAL_25120	C4B63_227g2	A0A2V2UMH9	95.0
LPAL13_090005500	LINF_090005500	A4HTS2	95.0
LAEL147_000245100	Lsey_0471_0020	A0A0N1P973	95.0
Baya_011_0490	LbrM.28.0280	A4HG68	95.0
PCON_0039730	TEOVI_000845600	A0A1G4I1L9	95.0
Tb927.8.4430	C4B63_21g56	A0A2V2WGC7	95.0
BSAL_17295	LdCL_180015100	A0A504XZS6	95.0
BSAL_73805	TcCLB.510121.20	Q4DQ27	95.0
Tb427.01.2230	TcIL3000.A.H_000525100	Q57UN7	95.0
TcIL3000_4_1900	LdBPK_342240.1	A0A3Q8II82	95.0
Baya_076_0220	TcCLB.504157.20	Q4DGN7	95.0
ADEAN_000496500	LINF_190008800	A4HY61	95.0
Baya_100_0170	TRSC58_01068	A0A422NR67	95.0
TM35_000091780	C3747_47g78	A0A2V2WXI3	95.0
CFAC1_250030400	LtaPh_3619700	A0A640L0E1	95.0
ADEAN_000088700	ECC02_009554	A0A2V2VYB7	95.0
EMOLV88_000026200	LbrM.10.0500	A4H629	95.0
LSM04_006351	LINF_280019400	A4I3L5	95.0
PCON_0076140	Tb927.10.5760	Q38B28	95.0
TM35_000043370	LINF_100009600	A4HUE9	95.0
TCDM_02343	TcCLB.511277.290	A0A2V2XN53	95.0
TcCLB.508461.430	LPMP_343710	A0A088S149	95.0
BSAL_29180	TcCLB.508177.10	Q4DF48	95.0
PCON_0061410	ADEAN_000977900	A0A7G2CS96	95.0
LpyrH10_01_4120	LpyrH10_01_3980	A0A0M9GAH9	95.0
LbrM.20.2.000090	TcG_06890	A0A2V2VLZ6	95.0
ADEAN_000633800	LBRM2903_200023900	A4H7T3	95.0
BSAL_26940	TcCLB.511633.40	Q4D1A9	95.0
JKF63_00754	Tc_MARK_3531	A0A2V2X1Q6	95.0
TCDM_06407	TcCLB.508827.40	Q4DK44	95.0
PCON_0083810	TcCLB.509719.9	Q4D7K3	95.0
TcCL_ESM05518	TcCLB.508299.60	Q4D5K2	95.0
TCSYLVIO_001193	BSAL_15075	A0A0S4JDK8	95.0
TCSYLVIO_004283	LPMP_291120	A0A088RV76	95.0
CFAC1_210040000	LpyrH10_03_5180	A0A0N0DYP7	95.0
GH5_03910	LDHU3_28.0630	A0A504WV49	95.0
BSAL_72730	TcCLB.507853.10	Q4CPV2	95.0
TCSYLVIO_003187	TcCL_Unassigned03943	A0A2V2VJD2	95.0
Baya_111_0300	BSAL_08485	A0A0S4KJQ7	95.0
Lsey_0701_0010	LINF_310031700	A4I740	95.0
TcBrA4_0095580	ECC02_006614	Q6Y656	95.0
DQ04_20831000	TM35_000064850	A0A1X0P4W2	95.0
Baya_226_0040	TcG_10419	Q9NDD0	95.0
ADEAN_000061200	BSAL_78580	A0A0S4IZZ0	95.0
BSAL_23280	Tbg972.11.1660	D0A5U9	95.0
C3747_4g699	LmxM.26.0830	E9AY61	95.0
Tb427_110076600	BSAL_46890	A0A0S4JVV1	95.0
LBRM2903_270029100	LINF_290007800	A4I481	95.0
TvY486_1012350	LMJFC_180022100	Q4QDQ1	95.0
TcCLB.508579.20	TRSC58_01935	A0A422NC88	95.0
C3747_185g46	C3747_185g33	A0A2V2W2Y6	95.0
ADEAN_000027000	LINF_360042200	A4ID61	95.0
BSAL_03795	LdBPK_260030.1	A0A504X7P3	95.0
LmxM.32.1630	LBRM2903_330025200	A4HLM4	95.0
ADEAN_001054100	Tb927.7.2990	Q57YA9	95.0
ECC02_003500	LINF_240015500	A4I0U0	95.0
DQ04_03711020	Tb927.4.4080	Q57Y12	95.0
DQ04_03841030	Lsey_0001_1110	A0A0N1I9F6	95.0
TcIL3000_0_42610	LpyrH10_08_2710	A0A0N0DVU6	95.0
